"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"Admission Basis","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"All state-funded mainstream schools","0.01","-0.21","0.23","0.48","0.26","0.70","0.16","-0.10","0.41","1.06","0.91","1.20","0.02","-0.20","0.23","-0.07","-0.29","0.15"
"Non-selective schools in highly selective areas","-0.13","-0.34","0.08","0.42","0.19","0.66","0.19","-0.11","0.48","1.01","0.74","1.26","-0.03","-0.13","0.06","-0.19","-0.40","0.02"
"Non-selective schools in other areas","0.00","-0.23","0.23","0.44","0.21","0.68","0.14","-0.12","0.39","1.06","0.89","1.19","-0.01","-0.24","0.22","-0.08","-0.30","0.14"
"Selective schools","0.56","0.42","0.71","0.90","0.83","0.99","0.69","0.49","0.84","1.09","0.98","1.19","0.59","0.46","0.71","0.45","0.27","0.62"
