"","All","","Higher","","CBE","","OBE","","MBE","","BEM",""
"Ethnicity","%","Number","%","Number","%","Number","%","Number","%","Number","%","Number"
"All","100.0","1,160","100.0","34","100.0","104","100.0","230","100.0","476","100.0","316"
"Asian","8.4","98","8.8","3","4.8","5","10.4","24","7.8","37","9.2","29"
"Black","3.6","42","5.9","2","4.8","5","2.6","6","4.8","23","1.9","6"
"Mixed","2.4","28","2.9","1","1.0","1","2.6","6","3.6","17","0.9","3"
"White","84.9","985","82.4","28","89.4","93","83.9","193","82.8","394","87.7","277"
"Other","0.6","7","0.0","0","0.0","0","0.4","1","1.1","5","0.3","1"
