"Category","Ethnicity","%","Number"
"All","All","100.0","1,160"
"All","Asian","8.4","98"
"All","Black","3.6","42"
"All","Mixed","2.4","28"
"All","White","84.9","985"
"All","Other","0.6","7"
"Higher","All","100.0","34"
"Higher","Asian","8.8","3"
"Higher","Black","5.9","2"
"Higher","Mixed","2.9","1"
"Higher","White","82.4","28"
"Higher","Other","0.0","0"
"CBE","All","100.0","104"
"CBE","Asian","4.8","5"
"CBE","Black","4.8","5"
"CBE","Mixed","1.0","1"
"CBE","White","89.4","93"
"CBE","Other","0.0","0"
"OBE","All","100.0","230"
"OBE","Asian","10.4","24"
"OBE","Black","2.6","6"
"OBE","Mixed","2.6","6"
"OBE","White","83.9","193"
"OBE","Other","0.4","1"
"MBE","All","100.0","476"
"MBE","Asian","7.8","37"
"MBE","Black","4.8","23"
"MBE","Mixed","3.6","17"
"MBE","White","82.8","394"
"MBE","Other","1.1","5"
"BEM","All","100.0","316"
"BEM","Asian","9.2","29"
"BEM","Black","1.9","6"
"BEM","Mixed","0.9","3"
"BEM","White","87.7","277"
"BEM","Other","0.3","1"
