"","Council Tax Reduction","Housing Benefit","Income Support","Pension Credit"
"Ethnicity","%","%","%","%"
"All","11","9","1","3"
"Asian","9","7","1","3"
"Bangladeshi","15","14","1","5"
"Chinese","6","5","~0","2"
"Indian","6","4","~0","2"
"Pakistani","12","9","2","3"
"Asian other","11","10","1","1"
"Black","18","14","2","2"
"Mixed","13","11","2","2"
"White","11","8","1","3"
"White British","12","9","1","3"
"White other","7","6","~0","2"
"Other","14","11","1","2"
