"","Child Tax Credit","Working Tax Credit"
"Ethnicity","%","%"
"All","5","3"
"Asian","10","7"
"Bangladeshi","17","12"
"Chinese","4","2"
"Indian","6","4"
"Pakistani","16","10"
"Asian other","9","6"
"Black","11","7"
"Mixed","10","6"
"White","5","2"
"White British","5","2"
"White other","6","3"
"Other","8","5"
