"","1st class","","Upper 2nd class","","Lower 2nd/3rd class/pass","","Unclassified",""
"Ethnicity","% of each ethnicity","Number of students","% of each ethnicity","Number of students","% of each ethnicity","Number of students","% of each ethnicity","Number of students"
"Asian","22.7","7,845","47.9","16,555","29.5","10,190","N/A","2,705"
"Black","14.0","2,970","43.5","9,245","42.5","9,035","N/A","720"
"Mixed","26.3","3,330","50.9","6,430","22.8","2,885","N/A","535"
"White","30.9","76,575","50.0","124,000","19.1","47,345","N/A","14,490"
"Other","21.8","940","46.1","1,990","32.2","1,390","N/A","300"
"Unknown","18.4","1,030","35.3","1,970","46.3","2,585","N/A","570"
