"Ethnicity","% of firefighters","Number of firefighters","Working age population 2011"
"Asian","0.6","203","8.4"
"Black","1.3","420","3.6"
"Mixed","1.7","531","1.8"
"White","95.9","30,346","85.1"
"Other inc Chinese","0.4","139","1.1"
"Unknown","N/A","3,323","N/A"
