"Time","Ethnicity","%","Number of respondents"
"2016-17","All","85","7,343"
"2016-17","Asian","84","993"
"2016-17","Black","81","197"
"2016-17","Mixed","79","143"
"2016-17","White","85","5,821"
"2016-17","Other","68","120"
"2017-18","All","85","7,537"
"2017-18","Asian","84","859"
"2017-18","Black","82","233"
"2017-18","Mixed","73","197"
"2017-18","White","86","6,107"
"2017-18","Other","79","85"
"2018-19","All","84","7,891"
"2018-19","Asian","83","840"
"2018-19","Black","75","213"
"2018-19","Mixed","80","200"
"2018-19","White","85","6,464"
"2018-19","Other","62","96"
