"","2016-17","","2017-18","","2018-19",""
"Ethnicity","%","Number of respondents","%","Number of respondents","%","Number of respondents"
"All","85","7,343","85","7,537","84","7,891"
"Asian","84","993","84","859","83","840"
"Black","81","197","82","233","75","213"
"Mixed","79","143","73","197","80","200"
"White","85","5,821","86","6,107","85","6,464"
"Other","68","120","79","85","62","96"
