"","Officers","","Other Ranks",""
"Service","White","Other ethnic groups","White","Other ethnic groups"
"All Services","97.5","2.5","91.2","8.8"
"Army","97.2","2.8","87.1","12.9"
"Royal Air Force","97.7","2.3","97.5","2.5"
"Royal Navy/Royal Marines","98.0","2.0","95.5","4.5"
