"Category","Ethnicity","%","Number"
"All","All","100.0","1,343"
"All","Asian","8.0","107"
"All","Black","4.8","64"
"All","Mixed","1.0","14"
"All","White","85.6","1,150"
"All","Other","0.6","8"
"Higher","All","100.0","22"
"Higher","Asian","0.0","0"
"Higher","Black","4.5","1"
"Higher","Mixed","0.0","0"
"Higher","White","95.5","21"
"Higher","Other","0.0","0"
"CBE","All","100.0","94"
"CBE","Asian","6.4","6"
"CBE","Black","6.4","6"
"CBE","Mixed","2.1","2"
"CBE","White","84.0","79"
"CBE","Other","1.1","1"
"OBE","All","100.0","241"
"OBE","Asian","8.3","20"
"OBE","Black","3.3","8"
"OBE","Mixed","1.2","3"
"OBE","White","86.7","209"
"OBE","Other","0.4","1"
"MBE","All","100.0","479"
"MBE","Asian","10.6","51"
"MBE","Black","7.1","34"
"MBE","Mixed","1.3","6"
"MBE","White","80.2","384"
"MBE","Other","0.8","4"
"BEM","All","100.0","507"
"BEM","Asian","5.9","30"
"BEM","Black","3.0","15"
"BEM","Mixed","0.6","3"
"BEM","White","90.1","457"
"BEM","Other","0.4","2"
