"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Age_group","NS-SEC","Income_band","Region","Value","Numerator","Denominator","Sample_size"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","ONS 2011 18+1","England","All","All","All","All","16","3068","18863","21556"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White Irish","ONS 2011 18+1","England","All","All","All","All","23","49","213","233"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White Gypsy or Irish Traveller","ONS 2011 18+1","England","All","All","All","All","?","?","?","12"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White Other","ONS 2011 18+1","England","All","All","All","All","11","150","1307","1420"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Mixed White and Black Caribbean","ONS 2011 18+1","England","All","All","All","All","32","30","93","102"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Mixed White and Black African","ONS 2011 18+1","England","All","All","All","All","41","35","85","97"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Mixed White and Asian","ONS 2011 18+1","England","All","All","All","All","10","5","52","61"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Mixed Other","ONS 2011 18+1","England","All","All","All","All","24","17","73","78"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Indian","ONS 2011 18+1","England","All","All","All","All","7","41","550","563"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Pakistani","ONS 2011 18+1","England","All","All","All","All","13","46","358","399"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Bangladeshi","ONS 2011 18+1","England","All","All","All","All","33","51","152","181"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Chinese","ONS 2011 18+1","England","All","All","All","All","10","11","111","131"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Asian Other","ONS 2011 18+1","England","All","All","All","All","23","44","190","206"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Black African","ONS 2011 18+1","England","All","All","All","All","44","188","431","556"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Black Caribbean","ONS 2011 18+1","England","All","All","All","All","40","123","308","348"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Black Other","ONS 2011 18+1","England","All","All","All","All","27","9","32","35"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Arab","ONS 2011 18+1","England","All","All","All","All","32","27","83","93"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other","ONS 2011 18+1","England","All","All","All","All","22","55","250","274"
