"Gender","Ethnicity","%","Sample size"
"All","Asian","15","6,156"
"All","Black","15","2,855"
"All","Mixed","20","1,163"
"All","White","14","91,345"
"All","Other","16","862"
"Female","Asian","15","3,080"
"Female","Black","16","1,697"
"Female","Mixed","19","649"
"Female","White","14","49,258"
"Female","Other","17","436"
"Male","Asian","15","3,076"
"Male","Black","14","1,158"
"Male","Mixed","21","514"
"Male","White","14","42,087"
"Male","Other","15","426"
