"","All","","Female","","Male",""
"Ethnicity","%","Sample size","%","Sample size","%","Sample size"
"Asian","15","6,156","15","3,080","15","3,076"
"Black","15","2,855","16","1,697","14","1,158"
"Mixed","20","1,163","19","649","21","514"
"White","14","91,345","14","49,258","14","42,087"
"Other","16","862","17","436","15","426"
