"","All","Asian","Black","Mixed","White","Other"
"Highest qualification held","","","","","",""
"All","83%","84%","79%","77%","83%","79%"
"Level 4 and above","90%","92%","87%","88%","90%","86%"
"Level 3","87%","87%","77%","75%","87%","?"
"Level 2","80%","72%","69%","70%","81%","?"
"Below Level 2","78%","76%","71%","?","78%","?"
"Other qualifications","84%","85%","81%","?","84%","82%"
"No qualifications","57%","65%","64%","?","56%","58%"
