"","Asian","","","","Black","","","","Mixed","","","","White","","","","Other inc Chinese","","","","Unknown","","",""
"Rank","% 2007 ","Number 2007","% 2020","Number 2020","% 2007 ","Number 2007","% 2020","Number 2020","% 2007 ","Number 2007","% 2020","Number 2020","% 2007 ","Number 2007","% 2020","Number 2020","% 2007 ","Number 2007","% 2020","Number 2020","% 2007 ","Number 2007","% 2020","Number 2020"
"Chief Officer","2.0","4","1.5","3","0.5","1","0.0","0","1.0","2","0.5","1","96.6","196","98.0","200","0.0","0","0.0","0","N/A","3","N/A","27"
"Chief Superintendent","1.3","6","2.0","6","0.6","3","1.3","4","0.6","3","2.3","7","97.2","456","94.1","285","0.2","1","0.3","1","N/A","0","N/A","12"
"Superintendent","1.0","10","1.7","15","0.8","8","1.0","9","0.5","5","1.8","16","97.4","954","95.5","864","0.2","2","0.1","1","N/A","8","N/A","32"
"Chief Inspector","1.0","18","1.8","31","0.5","10","0.7","12","1.2","22","1.5","25","97.2","1,778","95.8","1,623","0.1","2","0.2","3","N/A","18","N/A","38"
"Inspector","1.0","72","2.3","128","0.5","36","0.7","38","0.7","49","1.6","91","97.5","6,790","95.0","5,253","0.2","16","0.4","21","N/A","69","N/A","123"
"Sergeant","1.1","235","2.2","412","0.8","179","0.8","151","0.7","162","1.6","288","97.0","21,026","94.9","17,493","0.3","65","0.5","99","N/A","283","N/A","384"
"Constable","1.6","1,766","3.3","3,289","1.0","1,113","1.4","1,373","1.1","1,176","2.3","2,283","95.7","103,172","92.1","90,818","0.5","546","0.9","868","N/A","1,618","N/A","2,785"
