"Ethnicity","%","% of population (2011)","Number (Headcount) of Special Constables"
"Asian","5.9","6.8","567"
"Black","1.8","3.3","173"
"Mixed","2.1","2.2","197"
"White","88.9","86.0","8,523"
"Other inc Chinese","1.3","1.7","128"
"Unknown","N/A","N/A","1,052"
