"Ethnicity","% of police officers","% of population ","Number of full time police officers "
"Asian","2.9","6.8","3,475"
"Black","1.2","3.3","1,492"
"Mixed","2.1","2.2","2,473"
"White","93.1","86.0","111,695"
"Other inc Chinese","0.7","1.7","888"
"Unknown","N/A","N/A","3,148"
