"Outcome","Ethnicity","%"
"Reliably improved","Asian","63.9"
"Reliably improved","Bangladeshi","60.8"
"Reliably improved","Indian","66.4"
"Reliably improved","Pakistani","63.0"
"Reliably improved","Asian other","62.0"
"Reliably improved","Black","66.2"
"Reliably improved","Black African","66.2"
"Reliably improved","Black Caribbean","66.4"
"Reliably improved","Black other","65.7"
"Reliably improved","Mixed","64.7"
"Reliably improved","Mixed White/Asian","63.4"
"Reliably improved","Mixed White/Black African","65.6"
"Reliably improved","Mixed White/Black Caribbean","64.7"
"Reliably improved","Mixed other","65.1"
"Reliably improved","White","68.0"
"Reliably improved","White British","68.1"
"Reliably improved","White Irish","65.5"
"Reliably improved","White other","66.9"
"Reliably improved","Other inc Chinese","64.0"
"Reliably improved","Chinese","66.5"
"Reliably improved","Any other","63.4"
"No Reliable Change","Asian","27.5"
"No Reliable Change","Bangladeshi","28.2"
"No Reliable Change","Indian","26.0"
"No Reliable Change","Pakistani","28.3"
"No Reliable Change","Asian other","28.7"
"No Reliable Change","Black","25.6"
"No Reliable Change","Black African","25.3"
"No Reliable Change","Black Caribbean","25.7"
"No Reliable Change","Black other","26.0"
"No Reliable Change","Mixed","27.6"
"No Reliable Change","Mixed White/Asian","29.2"
"No Reliable Change","Mixed White/Black African","27.2"
"No Reliable Change","Mixed White/Black Caribbean","27.4"
"No Reliable Change","Mixed other","27.1"
"No Reliable Change","White","25.4"
"No Reliable Change","White British","25.4"
"No Reliable Change","White Irish","27.2"
"No Reliable Change","White other","26.0"
"No Reliable Change","Other inc Chinese","27.5"
"No Reliable Change","Chinese","26.5"
"No Reliable Change","Any other","27.7"
"Reliably deteriorated","Asian","7.5"
"Reliably deteriorated","Bangladeshi","8.8"
"Reliably deteriorated","Indian","6.8"
"Reliably deteriorated","Pakistani","7.7"
"Reliably deteriorated","Asian other","8.1"
"Reliably deteriorated","Black","7.0"
"Reliably deteriorated","Black African","7.1"
"Reliably deteriorated","Black Caribbean","7.0"
"Reliably deteriorated","Black other","6.9"
"Reliably deteriorated","Mixed","6.7"
"Reliably deteriorated","Mixed White/Asian","6.3"
"Reliably deteriorated","Mixed White/Black African","6.7"
"Reliably deteriorated","Mixed White/Black Caribbean","7.0"
"Reliably deteriorated","Mixed other","6.7"
"Reliably deteriorated","White","5.5"
"Reliably deteriorated","White British","5.5"
"Reliably deteriorated","White Irish","6.4"
"Reliably deteriorated","White other","6.0"
"Reliably deteriorated","Other inc Chinese","7.4"
"Reliably deteriorated","Chinese","6.0"
"Reliably deteriorated","Any other","7.6"
