"Measure","Academic Year","Ethnicity","Value","Value_type","Numerator","Denominator"
"First year enrolments onto undergraduate degrees","2015/16","Asian","10.5","%","61545","586765"
"First year enrolments onto undergraduate degrees","2015/16","Black","8.2","%","48335","586765"
"First year enrolments onto undergraduate degrees","2015/16","Mixed","3.8","%","22125","586765"
"First year enrolments onto undergraduate degrees","2015/16","Other","1.5","%","8715","586765"
"First year enrolments onto undergraduate degrees","2015/16","White","76","%","446040","586765"
"First year enrolments onto undergraduate degrees","2016/17","Asian","11","%","63540","579470"
"First year enrolments onto undergraduate degrees","2016/17","Black","8.5","%","49140","579470"
"First year enrolments onto undergraduate degrees","2016/17","Mixed","4","%","22925","579470"
"First year enrolments onto undergraduate degrees","2016/17","Other","1.6","%","9290","579470"
"First year enrolments onto undergraduate degrees","2016/17","White","75","%","434580","579470"
"First year enrolments onto undergraduate degrees","2017/18","Asian","11.3","%","65335","577665"
"First year enrolments onto undergraduate degrees","2017/18","Black","8.6","%","49860","577665"
"First year enrolments onto undergraduate degrees","2017/18","Mixed","4.1","%","23565","577665"
"First year enrolments onto undergraduate degrees","2017/18","Other","1.8","%","10345","577665"
"First year enrolments onto undergraduate degrees","2017/18","White","74.2","%","428565","577665"
"First year enrolments onto undergraduate degrees","2018/19","Asian","11.5","%","66635","577605"
"First year enrolments onto undergraduate degrees","2018/19","Black","8.5","%","49300","577605"
"First year enrolments onto undergraduate degrees","2018/19","Mixed","4.2","%","24460","577605"
"First year enrolments onto undergraduate degrees","2018/19","Other","1.8","%","10175","577605"
"First year enrolments onto undergraduate degrees","2018/19","White","73.9","%","427040","577605"
"First year enrolments onto undergraduate degrees","2019/20","Asian","12.2","%","70660","580520"
"First year enrolments onto undergraduate degrees","2019/20","Black","8.7","%","50655","580520"
"First year enrolments onto undergraduate degrees","2019/20","Mixed","4.5","%","25840","580520"
"First year enrolments onto undergraduate degrees","2019/20","Other","2","%","11635","580520"
"First year enrolments onto undergraduate degrees","2019/20","White","72.6","%","421730","580520"
