"","Asian","","Black","","Mixed","","White","","Other",""
"Year","%","Number","%","Number","%","Number","%","Number","%","Number"
"2015/16","10.5","61,545","8.2","48,335","3.8","22,125","76.0","446,040","1.5","8,715"
"2016/17","11.0","63,540","8.5","49,140","4.0","22,925","75.0","434,580","1.6","9,290"
"2017/18","11.3","65,335","8.6","49,860","4.1","23,565","74.2","428,565","1.8","10,345"
"2018/19","11.5","66,635","8.5","49,300","4.2","24,460","73.9","427,040","1.8","10,175"
"2019/20","12.2","70,660","8.7","50,655","4.5","25,840","72.6","421,730","2.0","11,635"
