"Threshold","Ethnicity","%"
"Low","All","8.08"
"Low","Bangladeshi","?"
"Low","Chinese","?"
"Low","Indian","7.39"
"Low","Pakistani","8.48"
"Low","Asian other","6.77"
"Low","Black","8.43"
"Low","Mixed","10.26"
"Low","White","8.09"
"Low","White Gypsy / Traveller","?"
"Low","Arab","?"
"Low","Other","6.98"
"Medium","All","15.99"
"Medium","Bangladeshi","18.91"
"Medium","Chinese","18.80"
"Medium","Indian","15.00"
"Medium","Pakistani","16.69"
"Medium","Asian other","13.67"
"Medium","Black","18.40"
"Medium","Mixed","17.72"
"Medium","White","15.88"
"Medium","White Gypsy / Traveller","?"
"Medium","Arab","18.95"
"Medium","Other","16.12"
"High","All","40.86"
"High","Bangladeshi","37.15"
"High","Chinese","47.08"
"High","Indian","38.92"
"High","Pakistani","36.89"
"High","Asian other","40.75"
"High","Black","35.70"
"High","Mixed","40.53"
"High","White","41.13"
"High","White Gypsy / Traveller","?"
"High","Arab","36.45"
"High","Other","43.00"
"Very High","All","35.06"
"Very High","Bangladeshi","37.37"
"Very High","Chinese","28.93"
"Very High","Indian","38.69"
"Very High","Pakistani","37.94"
"Very High","Asian other","38.81"
"Very High","Black","37.47"
"Very High","Mixed","31.49"
"Very High","White","34.90"
"Very High","White Gypsy / Traveller","?"
"Very High","Arab","31.56"
"Very High","Other","33.90"
