"Ethnicity","Mode of transport","%","Miles"
"All","Bicycle","1","56"
"All","Bus in London","1","72"
"All","Car / van driver","50","3,257"
"All","Car / van passenger","28","1,822"
"All","London Underground","2","100"
"All","Motorcycle","0","29"
"All","Non-local bus","1","47"
"All","Other local bus","3","179"
"All","Other private transport","2","101"
"All","Other public transport","1","47"
"All","Surface Rail","9","586"
"All","Taxi / minicab","1","58"
"All","Walk","3","202"
"Asian","Bicycle","0","19"
"Asian","Bus in London","4","192"
"Asian","Car / van driver","41","1,910"
"Asian","Car / van passenger","28","1,339"
"Asian","London Underground","4","199"
"Asian","Motorcycle","?","?"
"Asian","Non-local bus","?","?"
"Asian","Other local bus","2","102"
"Asian","Other private transport","1","34"
"Asian","Other public transport","1","31"
"Asian","Surface Rail","12","578"
"Asian","Taxi / minicab","1","47"
"Asian","Walk","4","185"
"Black","Bicycle","1","28"
"Black","Bus in London","10","396"
"Black","Car / van driver","35","1,428"
"Black","Car / van passenger","19","755"
"Black","London Underground","4","172"
"Black","Motorcycle","?","?"
"Black","Non-local bus","?","?"
"Black","Other local bus","6","248"
"Black","Other private transport","?","?"
"Black","Other public transport","1","46"
"Black","Surface Rail","16","642"
"Black","Taxi / minicab","2","61"
"Black","Walk","5","196"
"Mixed","Bicycle","1","32"
"Mixed","Bus in London","3","137"
"Mixed","Car / van driver","31","1,586"
"Mixed","Car / van passenger","35","1,768"
"Mixed","London Underground","3","154"
"Mixed","Motorcycle","?","?"
"Mixed","Non-local bus","?","?"
"Mixed","Other local bus","5","243"
"Mixed","Other private transport","?","?"
"Mixed","Other public transport","?","?"
"Mixed","Surface Rail","11","560"
"Mixed","Taxi / minicab","?","?"
"Mixed","Walk","5","269"
"White","Bicycle","1","61"
"White","Bus in London","1","45"
"White","Car / van driver","51","3,504"
"White","Car / van passenger","28","1,917"
"White","London Underground","1","86"
"White","Motorcycle","0","33"
"White","Non-local bus","1","46"
"White","Other local bus","3","182"
"White","Other private transport","2","110"
"White","Other public transport","1","48"
"White","Surface Rail","9","586"
"White","Taxi / minicab","1","58"
"White","Walk","3","202"
"Other","Bicycle","?","?"
"Other","Bus in London","5","241"
"Other","Car / van driver","40","1,784"
"Other","Car / van passenger","27","1,216"
"Other","London Underground","3","137"
"Other","Motorcycle","?","?"
"Other","Non-local bus","?","?"
"Other","Other local bus","4","169"
"Other","Other private transport","?","?"
"Other","Other public transport","?","?"
"Other","Surface Rail","11","491"
"Other","Taxi / minicab","?","?"
"Other","Walk","5","217"
