"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Mode_of_Transport","Value","Value_Type","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Stages","Unweighted_Sample_Stages","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average distance per year by mode of transport","2005/09","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","55","Miles per person per year","89493","81692","19470","17480","85373","84121",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","207","Miles per person per year","338544","305069","539249","475408","85373","84121",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","4590","Miles per person per year","426501","360790","91856","76490","4844","4383",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","13","Miles per person per year","1168","915","590","459","4844","4383",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","205","Miles per person per year","19044","15277","5797","4714","4844","4383",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","1842","Miles per person per year","171106","146040","24729","21135","4844","4383",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","1398","Miles per person per year","129881","114760","18460","16436","4844","4383",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","207","Miles per person per year","19219","14311","2707","2016","4844","4383",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","139","Miles per person per year","12895","10165","3395","2686","4844","4383",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","44","Miles per person per year","4109","3550","516","368","4844","4383",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","35","Miles per person per year","3291","2922","457","324","4844","4383",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","435","Miles per person per year","40401","31979","1912","1534","4844","4383",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","31","Miles per person per year","2868","2454","685","588","4844","4383",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","191","Miles per person per year","17784","14601","32485","26140","4844","4383",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","4784","Miles per person per year","194713","170167","42258","36819","2122","1990",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","601","Miles per person per year","24464","21782","7333","6591","2122","1990",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","1659","Miles per person per year","67542","59271","9099","7937","2122","1990",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","895","Miles per person per year","36445","33225","4991","4547","2122","1990",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","232","Miles per person per year","9427","8028","1311","1119","2122","1990",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","288","Miles per person per year","11740","9667","2473","2093","2122","1990",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","634","Miles per person per year","25787","21063","1406","1189","2122","1990",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","43","Miles per person per year","1742","1568","408","358","2122","1990",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","192","Miles per person per year","7799","6629","14351","12232","2122","1990",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All modes","5304","Miles per person per year","135855","119843","27554","24075","1336","1256",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","38","Miles per person per year","967","759","390","315","1336","1256",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","248","Miles per person per year","6364","5212","1924","1647","1336","1256",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","1460","Miles per person per year","37397","31392","4768","4027","1336","1256",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","2087","Miles per person per year","53448","50142","6858","6444","1336","1256",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","150","Miles per person per year","3843","3246","567","466","1336","1256",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","274","Miles per person per year","7026","5842","1587","1368","1336","1256",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","518","Miles per person per year","13276","11695","562","471","1336","1256",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","234","Miles per person per year","5990","5144","10296","8818","1336","1256",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","All modes","4386","Miles per person per year","84430","70343","20505","16506","1004","888",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","373","Miles per person per year","7185","5528","2273","1826","1004","888",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","1420","Miles per person per year","27328","23194","3848","3309","1004","888",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","1012","Miles per person per year","19487","17736","2674","2471","1004","888",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","391","Miles per person per year","7533","5672","1093","815","1004","888",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","190","Miles per person per year","3655","2946","834","665","1004","888",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","461","Miles per person per year","8880","6992","577","456","1004","888",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","244","Miles per person per year","4699","3665","8419","6343","1004","888",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","All modes","7285","Miles per person per year","10619220","10012290","1663503","1533778","76000","75534",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","Bicycle","46","Miles per person per year","66512","60212","25817","23503","76000","75534",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","Bus in London","49","Miles per person per year","70901","58639","23193","19382","76000","75534",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","Car / van driver","3771","Miles per person per year","5496364","5173563","643737","601639","76000","75534",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","2079","Miles per person per year","3030954","2930984","342113","327528","76000","75534",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","London Underground","67","Miles per person per year","97642","77629","17109","13632","76000","75534",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","41","Miles per person per year","59901","52944","5638","4874","76000","75534",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","Non-local bus","59","Miles per person per year","85887","84799","1111","1082","76000","75534",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","Other local bus","210","Miles per person per year","305861","286249","69528","64491","76000","75534",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","Other private transport","132","Miles per person per year","192575","188240","12934","12574","76000","75534",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","Other public transport","70","Miles per person per year","102255","92804","5436","4887","76000","75534",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","Surface Rail","498","Miles per person per year","725934","655898","25814","22696","76000","75534",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","57","Miles per person per year","82361","75501","17807","16052","76000","75534",""
"Average distance per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","Walk","207","Miles per person per year","302074","274829","473267","421438","76000","75534",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","6910","Miles per person per year","11216540","10582652","1805571","1660133","84634","83718",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","44","Miles per person per year","71581","64596","27280","24612","84634","83718",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","81","Miles per person per year","131966","113608","42569","36949","84634","83718",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","3495","Miles per person per year","5672450","5348440","670053","626769","84634","83718",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","1954","Miles per person per year","3171411","3081404","365199","350445","84634","83718",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","86","Miles per person per year","138940","112868","23018","18698","84634","83718",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","36","Miles per person per year","57769","50850","5472","4724","84634","83718",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","56","Miles per person per year","91475","88205","1161","1115","84634","83718",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","211","Miles per person per year","342619","315909","77127","70562","84634","83718",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","118","Miles per person per year","191003","189187","13255","12924","84634","83718",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","64","Miles per person per year","104604","95906","5875","5199","84634","83718",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","509","Miles per person per year","825979","743731","31121","27347","84634","83718",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","53","Miles per person per year","86263","79361","18730","16890","84634","83718",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","204","Miles per person per year","330480","298588","524713","463899","84634","83718",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","4695","Miles per person per year","455643","387683","96230","80669","5060","4625",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","12","Miles per person per year","1158","931","620","500","5060","4625",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","221","Miles per person per year","21483","18074","6586","5574","5060","4625",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","1882","Miles per person per year","182683","156225","25810","22108","5060","4625",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","1353","Miles per person per year","131293","116963","19002","17048","5060","4625",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","211","Miles per person per year","20438","15888","2865","2213","5060","4625",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","146","Miles per person per year","14143","11136","3548","2777","5060","4625",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","52","Miles per person per year","5021","4551","558","425","5060","4625",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","489","Miles per person per year","47419","37238","2301","1874","5060","4625",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","34","Miles per person per year","3298","2745","739","630","5060","4625",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","187","Miles per person per year","18192","14989","33694","27138","5060","4625",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","4685","Miles per person per year","205163","181342","45876","40619","2283","2167",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","621","Miles per person per year","27179","24552","8555","7739","2283","2167",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","1599","Miles per person per year","70011","62231","9117","8052","2283","2167",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","922","Miles per person per year","40357","36699","5383","4975","2283","2167",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","238","Miles per person per year","10420","8939","1510","1291","2283","2167",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","251","Miles per person per year","10970","9260","2376","2082","2283","2167",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","38","Miles per person per year","1684","1402","347","309","2283","2167",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","614","Miles per person per year","26893","22705","1536","1343","2283","2167",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","40","Miles per person per year","1743","1456","439","379","2283","2167",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","191","Miles per person per year","8373","7255","16000","13925","2283","2167",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All modes","5327","Miles per person per year","141215","124253","28100","24711","1382","1307",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","233","Miles per person per year","6174","5295","1988","1751","1382","1307",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","1471","Miles per person per year","38984","32212","4795","4054","1382","1307",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","2066","Miles per person per year","54771","51499","6838","6508","1382","1307",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","120","Miles per person per year","3173","2684","557","462","1382","1307",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","258","Miles per person per year","6850","5557","1558","1302","1382","1307",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","615","Miles per person per year","16307","14207","661","548","1382","1307",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","66","Miles per person per year","1745","1560","362","321","1382","1307",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","245","Miles per person per year","6502","5590","10667","9194","1382","1307",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","All modes","4438","Miles per person per year","84525","71690","19940","16374","993","895",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","46","Miles per person per year","877","671","394","303","993","895",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","371","Miles per person per year","7066","5410","2163","1728","993","895",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","1566","Miles per person per year","29819","26286","4056","3572","993","895",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","1016","Miles per person per year","19356","18153","2650","2501","993","895",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","360","Miles per person per year","6858","5260","994","750","993","895",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","170","Miles per person per year","3242","2589","778","620","993","895",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","413","Miles per person per year","7858","6244","523","419","993","895",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","251","Miles per person per year","4779","3787","8006","6176","993","895",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","All modes","7188","Miles per person per year","10317576","9805516","1613819","1496195","74843","74649",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","Bicycle","47","Miles per person per year","67722","61585","25535","23231","74843","74649",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","Bus in London","49","Miles per person per year","70040","60249","23263","20141","74843","74649",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","Car / van driver","3723","Miles per person per year","5344601","5065262","625751","588456","74843","74649",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","2036","Miles per person per year","2922359","2854884","330992","319077","74843","74649",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","London Underground","68","Miles per person per year","97917","79985","17063","13956","74843","74649",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","39","Miles per person per year","55999","49494","5298","4590","74843","74649",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","Non-local bus","53","Miles per person per year","76563","76226","1001","979","74843","74649",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","Other local bus","214","Miles per person per year","307304","287260","68840","63755","74843","74649",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","Other private transport","126","Miles per person per year","180263","179394","12230","12068","74843","74649",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","Other public transport","68","Miles per person per year","97294","89218","4994","4481","74843","74649",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","Surface Rail","506","Miles per person per year","726530","662337","26059","23119","74843","74649",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","55","Miles per person per year","78621","72912","16945","15363","74843","74649",""
"Average distance per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","Walk","204","Miles per person per year","292362","266711","455849","406979","74843","74649",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","6842","Miles per person per year","10946469","10376322","1748511","1614713","83421","82800",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","46","Miles per person per year","72847","65892","26625","24026","83421","82800",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","83","Miles per person per year","132587","115000","42582","37248","83421","82800",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","3441","Miles per person per year","5505105","5206029","647846","609494","83421","82800",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","1948","Miles per person per year","3116147","3048126","354378","342007","83421","82800",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","84","Miles per person per year","134416","111417","22543","18563","83421","82800",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","36","Miles per person per year","56831","49635","5478","4721","83421","82800",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","55","Miles per person per year","87752","83875","1113","1052","83421","82800",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","209","Miles per person per year","335109","311001","74638","68688","83421","82800",""
