"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Trip_Purpose","Value","Value_Type","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average distance per year by trip purpose","2005/09","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","1374","Miles per person per year","2249278","1993794","259980","227643","85373","84121",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","310","Miles per person per year","507609","483847","186480","177883","85373","84121",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","2799","Miles per person per year","4582446","4447126","444415","422578","85373","84121",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","479","Miles per person per year","784757","721260","154118","142366","85373","84121",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","47","Miles per person per year","77461","74815","74071","70056","85373","84121",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","491","Miles per person per year","803629","737339","174724","159843","85373","84121",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","851","Miles per person per year","1392905","1253787","336177","298097","85373","84121",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","4590","Miles per person per year","426501","360790","80873","68229","4844","4383",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","307","Miles per person per year","28546","24225","1862","1589","4844","4383",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","1172","Miles per person per year","108890","88450","14946","11886","4844","4383",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","431","Miles per person per year","40026","34256","16399","14610","4844","4383",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","1449","Miles per person per year","134609","117983","15737","13617","4844","4383",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","309","Miles per person per year","28696","24670","6999","6124","4844","4383",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","28","Miles per person per year","2631","2334","2081","1841","4844","4383",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","407","Miles per person per year","37844","31826","8927","7417","4844","4383",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","487","Miles per person per year","45259","37045","13922","11145","4844","4383",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","4784","Miles per person per year","194713","170167","34030","29753","2122","1990",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","305","Miles per person per year","12397","11931","1120","994","2122","1990",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","1288","Miles per person per year","52408","44394","6187","5176","2122","1990",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","513","Miles per person per year","20901","19410","6646","6330","2122","1990",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","1385","Miles per person per year","56378","49822","6502","5678","2122","1990",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","278","Miles per person per year","11303","9846","2832","2580","2122","1990",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","13","Miles per person per year","549","528","426","390","2122","1990",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","542","Miles per person per year","22073","19214","4839","4164","2122","1990",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","459","Miles per person per year","18704","15022","5478","4441","2122","1990",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","5304","Miles per person per year","135855","119843","24146","21226","1336","1256",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","216","Miles per person per year","5520","4866","425","381","1336","1256",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","1018","Miles per person per year","26069","21090","3229","2560","1336","1256",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","465","Miles per person per year","11918","11359","5356","5118","1336","1256",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","2340","Miles per person per year","59938","54913","6284","5543","1336","1256",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","417","Miles per person per year","10686","9367","2531","2253","1336","1256",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","26","Miles per person per year","653","633","843","821","1336","1256",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","409","Miles per person per year","10467","8879","2267","1964","1336","1256",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","414","Miles per person per year","10603","8736","3212","2586","1336","1256",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","4386","Miles per person per year","84430","70343","16617","13664","1004","888",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","270","Miles per person per year","5203","4354","383","329","1004","888",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","1088","Miles per person per year","20938","16112","2920","2232","1004","888",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","432","Miles per person per year","8326","7130","3462","3043","1004","888",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","1533","Miles per person per year","29515","25822","3469","2910","1004","888",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","299","Miles per person per year","5766","4873","1091","961","1004","888",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","38","Miles per person per year","728","604","690","525","1004","888",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","270","Miles per person per year","5200","4350","1656","1372","1004","888",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","455","Miles per person per year","8753","7098","2947","2292","1004","888",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","White","ONS 2011 5+1","All Purposes","7285","Miles per person per year","10619220","10012290","1528302","1416697","76000","75534",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","White","ONS 2011 5+1","Business","700","Miles per person per year","1020397","985214","51361","48964","76000","75534",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","White","ONS 2011 5+1","Commuting","1399","Miles per person per year","2039466","1822401","232559","205665","76000","75534",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","White","ONS 2011 5+1","Education / escort education","292","Miles per person per year","426052","411316","154412","148577","76000","75534",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","White","ONS 2011 5+1","Leisure","2948","Miles per person per year","4297102","4193863","412056","394454","76000","75534",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","White","ONS 2011 5+1","Other escort","499","Miles per person per year","727292","671462","140561","130339","76000","75534",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","White","ONS 2011 5+1","Other including just walk","50","Miles per person per year","72850","70660","70007","66452","76000","75534",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","White","ONS 2011 5+1","Personal business","499","Miles per person per year","727408","672463","156942","144833","76000","75534",""
"Average distance per year by trip purpose","2005/09","5-year rolling average","White","ONS 2011 5+1","Shopping","898","Miles per person per year","1308653","1184912","310405","277413","76000","75534",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","6910","Miles per person per year","11216540","10582652","1642071","1519022","84634","83718",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","628","Miles per person per year","1019973","988133","51856","49225","84634","83718",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","1364","Miles per person per year","2214290","1961972","253820","221824","84634","83718",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","313","Miles per person per year","508415","484862","182693","174985","84634","83718",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","2747","Miles per person per year","4459087","4378284","431111","414335","84634","83718",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","481","Miles per person per year","781575","728363","151388","141231","84634","83718",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","47","Miles per person per year","75986","73588","73247","69594","84634","83718",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","489","Miles per person per year","793251","736856","169527","156546","84634","83718",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","840","Miles per person per year","1363963","1230593","328430","291282","84634","83718",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","4695","Miles per person per year","455643","387683","83400","70880","5060","4625",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","314","Miles per person per year","30517","26321","1799","1555","5060","4625",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","1253","Miles per person per year","121627","99019","15722","12542","5060","4625",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","444","Miles per person per year","43090","37172","17016","15297","5060","4625",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","1483","Miles per person per year","143909","127576","15940","13993","5060","4625",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","305","Miles per person per year","29599","25499","7186","6351","5060","4625",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","26","Miles per person per year","2512","2275","2020","1812","5060","4625",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","390","Miles per person per year","37804","31808","9231","7753","5060","4625",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","480","Miles per person per year","46584","38013","14486","11577","5060","4625",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","4685","Miles per person per year","205163","181342","36249","32256","2283","2167",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","322","Miles per person per year","14094","13263","1190","1049","2283","2167",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","1294","Miles per person per year","56658","48652","6622","5588","2283","2167",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","487","Miles per person per year","21334","20571","6969","6872","2283","2167",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","1278","Miles per person per year","55948","50429","7068","6316","2283","2167",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","254","Miles per person per year","11103","9714","2804","2645","2283","2167",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","13","Miles per person per year","574","525","496","436","2283","2167",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","606","Miles per person per year","26548","22681","5123","4476","2283","2167",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","432","Miles per person per year","18905","15508","5977","4874","2283","2167",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","5327","Miles per person per year","141215","124253","24656","21740","1382","1307",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","251","Miles per person per year","6644","6006","378","337","1382","1307",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","926","Miles per person per year","24547","20270","3265","2613","1382","1307",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","421","Miles per person per year","11162","10683","5106","4859","1382","1307",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","2459","Miles per person per year","65189","58862","6507","5786","1382","1307",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","431","Miles per person per year","11434","10027","2603","2349","1382","1307",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","34","Miles per person per year","899","849","1020","968","1382","1307",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","403","Miles per person per year","10670","8919","2412","2139","1382","1307",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","402","Miles per person per year","10668","8636","3365","2689","1382","1307",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","4438","Miles per person per year","84525","71690","16465","13781","993","895",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","304","Miles per person per year","5794","5024","400","346","993","895",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","1026","Miles per person per year","19543","15519","2877","2232","993","895",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","431","Miles per person per year","8200","7077","2906","2671","993","895",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","1546","Miles per person per year","29443","25970","3592","3056","993","895",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","283","Miles per person per year","5399","4726","1174","1054","993","895",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","45","Miles per person per year","853","698","821","629","993","895",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","309","Miles per person per year","5881","4907","1733","1424","993","895",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","494","Miles per person per year","9413","7769","2962","2369","993","895",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","White","ONS 2011 5+1","All Purposes","7188","Miles per person per year","10317576","9805516","1479878","1378987","74843","74649",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","White","ONS 2011 5+1","Business","669","Miles per person per year","960517","934798","48012","45855","74843","74649",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","White","ONS 2011 5+1","Commuting","1387","Miles per person per year","1990512","1777231","225209","198733","74843","74649",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","White","ONS 2011 5+1","Education / escort education","296","Miles per person per year","424213","408968","150469","145071","74843","74649",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","White","ONS 2011 5+1","Leisure","2898","Miles per person per year","4159609","4110694","397592","384772","74843","74649",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","White","ONS 2011 5+1","Other escort","504","Miles per person per year","722891","677287","137478","128704","74843","74649",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","White","ONS 2011 5+1","Other including just walk","50","Miles per person per year","71089","69174","68853","65711","74843","74649",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","White","ONS 2011 5+1","Personal business","496","Miles per person per year","711373","667747","150893","140630","74843","74649",""
"Average distance per year by trip purpose","2006/10","5-year rolling average","White","ONS 2011 5+1","Shopping","890","Miles per person per year","1277372","1159616","301373","269511","74843","74649",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","6842","Miles per person per year","10946469","10376322","1588306","1475712","83421","82800",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","602","Miles per person per year","962963","935696","48961","46610","83421","82800",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","1346","Miles per person per year","2153385","1895102","245894","213208","83421","82800",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","315","Miles per person per year","503951","478983","179639","171343","83421","82800",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","2733","Miles per person per year","4373447","4320284","418032","404064","83421","82800",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","487","Miles per person per year","778530","733818","147409","138806","83421","82800",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","46","Miles per person per year","74212","72120","72017","68490","83421","82800",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","489","Miles per person per year","781982","734919","162801","152013","83421","82800",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","824","Miles per person per year","1318000","1205400","313551","281178","83421","82800",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","4595","Miles per person per year","453948","386225","82554","69981","5151","4717",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","289","Miles per person per year","28548","24620","1695","1472","5151","4717",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","1309","Miles per person per year","129353","104779","16203","12759","5151","4717",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","429","Miles per person per year","42412","36523","16907","15115","5151","4717",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","1393","Miles per person per year","137630","122492","15123","13305","5151","4717",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","312","Miles per person per year","30846","26657","7410","6550","5151","4717",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","22","Miles per person per year","2211","1997","1872","1666","5151","4717",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","375","Miles per person per year","37093","31439","9140","7788","5151","4717",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","464","Miles per person per year","45856","37718","14205","11326","5151","4717",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","4637","Miles per person per year","214891","191914","38298","34337","2416","2316",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","312","Miles per person per year","14446","13811","1264","1131","2416","2316",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","1259","Miles per person per year","58320","50046","6699","5662","2416","2316",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","483","Miles per person per year","22388","21551","7477","7401","2416","2316",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","1286","Miles per person per year","59582","54346","7697","6912","2416","2316",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","239","Miles per person per year","11057","9940","2937","2789","2416","2316",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","16","Miles per person per year","724","711","538","481","2416","2316",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","625","Miles per person per year","28952","25339","5458","4840","2416","2316",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","419","Miles per person per year","19422","16170","6228","5121","2416","2316",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","5088","Miles per person per year","134401","119199","23974","21107","1377","1290",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","243","Miles per person per year","6429","5956","354","316","1377","1290",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","844","Miles per person per year","22295","18774","3093","2427","1377","1290",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","385","Miles per person per year","10160","9691","4835","4542","1377","1290",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","2314","Miles per person per year","61119","54912","6483","5745","1377","1290",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","467","Miles per person per year","12346","11389","2595","2406","1377","1290",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","34","Miles per person per year","909","864","1002","958","1377","1290",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","413","Miles per person per year","10907","9209","2369","2094","1377","1290",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","387","Miles per person per year","10235","8405","3242","2619","1377","1290",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","4627","Miles per person per year","91858","79926","16591","14016","1035","944",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","401","Miles per person per year","7960","7212","556","484","1035","944",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","978","Miles per person per year","19423","15776","2811","2233","1035","944",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","448","Miles per person per year","8891","7612","2863","2613","1035","944",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","1638","Miles per person per year","32508","29273","3576","3082","1035","944",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","289","Miles per person per year","5741","5124","1204","1094","1035","944",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","40","Miles per person per year","789","632","811","612","1035","944",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","343","Miles per person per year","6808","6112","1712","1446","1035","944",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","491","Miles per person per year","9738","8184","3058","2452","1035","944",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","White","ONS 2011 5+1","All Purposes","7134","Miles per person per year","10038320","9586368","1425387","1334842","73370","73459",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","White","ONS 2011 5+1","Business","642","Miles per person per year","903280","881523","45020","43131","73370","73459",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","White","ONS 2011 5+1","Commuting","1366","Miles per person per year","1922083","1703984","216885","189950","73370","73459",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","White","ONS 2011 5+1","Education / escort education","298","Miles per person per year","419723","403227","147384","141501","73370","73459",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","White","ONS 2011 5+1","Leisure","2898","Miles per person per year","4077465","4054345","384738","374604","73370","73459",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","White","ONS 2011 5+1","Other escort","510","Miles per person per year","717391","679601","133101","125820","73370","73459",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","White","ONS 2011 5+1","Other including just walk","49","Miles per person per year","69518","67844","67762","64737","73370","73459",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","White","ONS 2011 5+1","Personal business","495","Miles per person per year","697046","661874","143955","135706","73370","73459",""
"Average distance per year by trip purpose","2007/11","5-year rolling average","White","ONS 2011 5+1","Shopping","875","Miles per person per year","1231814","1133970","286541","259393","73370","73459",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","6734","Miles per person per year","10734897","10215023","1574007","1463504","83120","82612",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","572","Miles per person per year","912524","893394","47366","45298","83120","82612",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","1318","Miles per person per year","2101531","1860024","239611","208407","83120","82612",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","321","Miles per person per year","512481","488149","181897","172352","83120","82612",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","2678","Miles per person per year","4268949","4237268","411105","399460","83120","82612",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","488","Miles per person per year","778359","732738","147327","137900","83120","82612",""
