"","All","","Asian","","Black","","Mixed","","White","","Other",""
"Mode of transport","%","Miles","%","Miles","%","Miles","%","Miles","%","Miles","%","Miles"
"Bicycle","1","56","0","19","1","28","1","32","1","61","?","?"
"Bus in London","1","72","4","192","10","396","3","137","1","45","5","241"
"Car / van driver","50","3,257","41","1,910","35","1,428","31","1,586","51","3,504","40","1,784"
"Car / van passenger","28","1,822","28","1,339","19","755","35","1,768","28","1,917","27","1,216"
"London Underground","2","100","4","199","4","172","3","154","1","86","3","137"
"Motorcycle","0","29","?","?","?","?","?","?","0","33","?","?"
"Non-local bus","1","47","?","?","?","?","?","?","1","46","?","?"
"Other local bus","3","179","2","102","6","248","5","243","3","182","4","169"
"Other private transport","2","101","1","34","?","?","?","?","2","110","?","?"
"Other public transport","1","47","1","31","1","46","?","?","1","48","?","?"
"Surface Rail","9","586","12","578","16","642","11","560","9","586","11","491"
"Taxi / minicab","1","58","1","47","2","61","?","?","1","58","?","?"
"Walk","3","202","4","185","5","196","5","269","3","202","5","217"
