"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Trip_Purpose","Value","Value_Type","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","1065","Trips per person per year","1693912","1551557","82950","81145","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","36","Trips per person per year","56610","53416","82950","81145","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","165","Trips per person per year","262303","230110","82950","81145","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","118","Trips per person per year","187619","178532","82950","81145","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","277","Trips per person per year","440033","414330","82950","81145","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","98","Trips per person per year","155363","143416","82950","81145","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","43","Trips per person per year","68554","64437","82950","81145","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","111","Trips per person per year","177289","161804","82950","81145","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","218","Trips per person per year","346140","305512","82950","81145","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","876","Trips per person per year","71078","58923","4229","3711","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","19","Trips per person per year","1540","1313","4229","3711","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","152","Trips per person per year","12347","9769","4229","3711","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","174","Trips per person per year","14115","12378","4229","3711","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","181","Trips per person per year","14696","12241","4229","3711","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","71","Trips per person per year","5763","5017","4229","3711","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","24","Trips per person per year","1974","1696","4229","3711","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","98","Trips per person per year","7917","6521","4229","3711","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","157","Trips per person per year","12726","9988","4229","3711","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","823","Trips per person per year","32539","27387","2063","1854","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","22","Trips per person per year","851","734","2063","1854","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","156","Trips per person per year","6169","4846","2063","1854","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","163","Trips per person per year","6431","5864","2063","1854","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","152","Trips per person per year","6009","5149","2063","1854","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","59","Trips per person per year","2326","2013","2063","1854","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","13","Trips per person per year","525","468","2063","1854","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","112","Trips per person per year","4437","3690","2063","1854","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","146","Trips per person per year","5791","4623","2063","1854","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","938","Trips per person per year","20989","18120","1166","1069","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","23","Trips per person per year","510","429","1166","1069","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","119","Trips per person per year","2663","2038","1166","1069","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","216","Trips per person per year","4825","4563","1166","1069","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2002/06","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","241","Trips per person per year","5391","4661","1166","1069","","","","","","","","","","","","","","",""
