"","All","","Asian","","Black","","Mixed","","White","","Other",""
"Purpose of trip","%","Trips","%","Trips","%","Trips","%","Trips","%","Trips","%","Trips"
"Business","3","30","2","19","3","26","2","20","3","31","3","26"
"Commuting","15","143","19","154","19","143","12","106","15","143","18","148"
"Education/escort","13","121","21","173","23","175","24","225","11","111","23","192"
"Leisure","26","248","17","140","17","129","24","225","27","265","17","142"
"Personal business","9","91","11","86","13","102","8","70","9","92","8","65"
"Shopping","19","184","17","137","15","116","14","131","20","193","17","146"
"Other escort","9","85","9","73","9","66","10","96","9","87","10","88"
"Other inc just walk","6","56","3","27","2","15","5","45","6","61","4","32"
