"","FSM","Non-FSM"
"Ethnicity","%","%"
"All","46","68"
"Asian","57","70"
"Bangladeshi","63","70"
"Indian","61","77"
"Pakistani","53","63"
"Asian other","58","74"
"Black","54","66"
"Black African","57","68"
"Black Caribbean","47","58"
"Black other","54","63"
"Chinese","77","82"
"Mixed","50","70"
"Mixed White/Asian","52","76"
"Mixed White/Black African","51","69"
"Mixed White/Black Caribbean","44","62"
"Mixed other","53","71"
"White","43","67"
"White British","43","68"
"White Irish","40","75"
"Gypsy/Roma","15","19"
"Irish Traveller","20","29"
"White other","48","62"
"Other","49","64"
"Unknown","45","53"
