"","Boys","","Girls",""
"Ethnicity","Expected standard"," Higher standard","Expected standard"," Higher standard"
"All","61","8","68","12"
"Asian","65","10","72","14"
"Bangladeshi","66","9","73","13"
"Indian","73","15","80","21"
"Pakistani","58","6","65","9"
"Asian other","69","12","75","18"
"Black","58","7","68","10"
"Black African","62","8","70","11"
"Black Caribbean","49","4","61","6"
"Black other","56","5","67","9"
"Chinese","78","23","85","33"
"Mixed","62","9","69","13"
"Mixed White/Asian","69","13","75","18"
"Mixed White/Black African","61","8","70","11"
"Mixed White/Black Caribbean","52","5","62","8"
"Mixed other","65","11","72","15"
"White","60","8","68","11"
"White British","61","8","69","11"
"White Irish","65","12","75","17"
"Gypsy/Roma","15","1","20","0"
"Irish Traveller","22","0","23","0"
"White other","57","8","65","11"
"Other","57","8","64","10"
"Unknown","49","7","56","10"
