"","White","","Other than White","","Unknown",""
"UK Nation","Percentage","Number","Percentage","Number","Percentage","Number"
"England","88.7","3,370,649","5.0","188,199","6.4","242,777"
"Northern Ireland","88.9","86,314","0.5","508","10.6","10,253"
"Scotland","93.7","220,701","0.4","900","5.9","13,854"
"UK","89.1","3,813,745","4.4","189,606","6.4","274,874"
"Wales","94.5","136,080","0.0","0","5.5","7,990"
