"","UK","","England","","Scotland","","Wales","","Northern Ireland",""
"Ethnicity","%","Number","%","Number","%","Number","%","Number","%","Number"
"Ethnic minorities (exc White minorities)","4","57,209","5","54,242","3","2,480","~","254","1","281"
"White","88","1,204,908","88","1,032,278","91","85,768","97","52,335","91","32,130"
"Unknown","7","101,025","8","90,277","7","6,259","3","1,535","8","2,757"
