"gender","Ethnicity","Expected standard"," Higher standard"
"Boys","All","60","9"
"Boys","Asian","65","11"
"Boys","Bangladeshi","66","11"
"Boys","Indian","72","16"
"Boys","Pakistani","58","7"
"Boys","Asian other","67","13"
"Boys","Black","58","7"
"Boys","Black African","61","8"
"Boys","Black Caribbean","49","4"
"Boys","Black other","54","5"
"Boys","Chinese","77","23"
"Boys","Mixed","61","10"
"Boys","Mixed White/Asian","69","14"
"Boys","Mixed White/Black African","60","8"
"Boys","Mixed White/Black Caribbean","53","5"
"Boys","Mixed other","63","11"
"Boys","White","60","8"
"Boys","White British","60","8"
"Boys","White Irish","70","13"
"Boys","Gypsy/Roma","15","0"
"Boys","Irish Traveller","20","2"
"Boys","White other","58","8"
"Boys","Other","57","8"
"Girls","All","70","13"
"Girls","Asian","74","16"
"Girls","Bangladeshi","75","15"
"Girls","Indian","81","23"
"Girls","Pakistani","67","10"
"Girls","Asian other","76","18"
"Girls","Black","70","11"
"Girls","Black African","73","13"
"Girls","Black Caribbean","64","7"
"Girls","Black other","67","9"
"Girls","Chinese","83","33"
"Girls","Mixed","72","15"
"Girls","Mixed White/Asian","77","20"
"Girls","Mixed White/Black African","73","14"
"Girls","Mixed White/Black Caribbean","65","8"
"Girls","Mixed other","73","16"
"Girls","White","69","12"
"Girls","White British","70","12"
"Girls","White Irish","75","18"
"Girls","Gypsy/Roma","24","1"
"Girls","Irish Traveller","31","0"
"Girls","White other","68","13"
"Girls","Other","66","12"
