"","Police Officer","","Police Staff","","Community Support Officer","","Designated Officer",""
"Ethnicity","%","Number (FTE) of staff","%","Number (FTE) of staff","%","Number (FTE) of staff","%","Number (FTE) of staff"
"Asian","2.9","3,475","3.3","2,047","4.5","417","3.2","149"
"Black","1.2","1,492","2.0","1,238","2.9","267","3.0","139"
"Mixed","2.1","2,473","1.1","677","1.5","141","1.6","73"
"White","93.1","111,695","92.9","57,000","90.0","8,361","91.4","4,233"
"Other inc Chinese","0.7","888","0.6","377","1.1","101","0.8","37"
"Unknown","N/A","3,148","N/A","3,074","N/A","260","N/A","262"
