"Ethnicity","Geography","%"
"White","All","18.6"
"White","East of England","16.1"
"White","London","21.0"
"White","Midlands","15.0"
"White","North East and Yorkshire","19.6"
"White","North West","19.2"
"White","South East of England","20.3"
"White","South West of England","20.4"
"Other than White","All","12.7"
"Other than White","East of England","11.6"
"Other than White","London","13.1"
"Other than White","Midlands","10.7"
"Other than White","North East and Yorkshire","14.0"
"Other than White","North West","12.3"
"Other than White","South East of England","14.7"
"Other than White","South West of England","15.2"
