"","All","Children","Working-age","Pensioners"
"Ethnicity","%","%","%","%"
"All","17","21","15","18"
"Asian","27","32","25","31"
"Bangladeshi","31","41","27","?"
"Chinese","27","32","25","?"
"Indian","17","17","16","32"
"Pakistani","40","45","36","45"
"Asian other","25","27","24","?"
"Black","27","29","25","23"
"Mixed","19","28","16","?"
"White","15","18","14","17"
"White British","15","17","14","17"
"White other","16","23","13","21"
"Other","25","33","21","?"
