"Ethnicity","Income","%"
"All","Benefits (inc State Pension)","100"
"All","State Pension","97"
"All","Income-related benefits","24"
"All","Disability benefits","20"
"All","Occupational pension","60"
"All","Personal pension","18"
"All","Investments","61"
"All","Earnings","16"
"All","Other","47"
"Asian","Benefits (inc State Pension)","100"
"Asian","State Pension","86"
"Asian","Income-related benefits","35"
"Asian","Disability benefits","20"
"Asian","Occupational pension","30"
"Asian","Personal pension","8"
"Asian","Investments","34"
"Asian","Earnings","17"
"Asian","Other","41"
"Black","Benefits (inc State Pension)","99"
"Black","State Pension","94"
"Black","Income-related benefits","42"
"Black","Disability benefits","20"
"Black","Occupational pension","41"
"Black","Personal pension","8"
"Black","Investments","26"
"Black","Earnings","23"
"Black","Other","49"
"Mixed","Benefits (inc State Pension)","?"
"Mixed","State Pension","?"
"Mixed","Income-related benefits","?"
"Mixed","Disability benefits","?"
"Mixed","Occupational pension","?"
"Mixed","Personal pension","?"
"Mixed","Investments","?"
"Mixed","Earnings","?"
"Mixed","Other","?"
"White British","Benefits (inc State Pension)","100"
"White British","State Pension","98"
"White British","Income-related benefits","23"
"White British","Disability benefits","20"
"White British","Occupational pension","62"
"White British","Personal pension","18"
"White British","Investments","63"
"White British","Earnings","16"
"White British","Other","48"
"White other","Benefits (inc State Pension)","99"
"White other","State Pension","88"
"White other","Income-related benefits","31"
"White other","Disability benefits","20"
"White other","Occupational pension","42"
"White other","Personal pension","13"
"White other","Investments","49"
"White other","Earnings","20"
"White other","Other","45"
"Other","Benefits (inc State Pension)","?"
"Other","State Pension","?"
"Other","Income-related benefits","?"
"Other","Disability benefits","?"
"Other","Occupational pension","?"
"Other","Personal pension","?"
"Other","Investments","?"
"Other","Earnings","?"
"Other","Other","?"
