"measure","time","time_type","ethnicity","ethnicity_type","geography","value","value_type","numerator","denominator"
"Percentage of 18-year-old state school pupils getting a higher education place","2013","Year","White","ONS 2001 5+1","England","26.1","%","121900","466255"
"Percentage of 18-year-old state school pupils getting a higher education place","2014","Year","Other","ONS 2001 5+1","England","34.3","%","2365","6900"
"Percentage of 18-year-old state school pupils getting a higher education place","2014","Year","Asian","ONS 2001 5+1","England","39.8","%","17740","44520"
"Percentage of 18-year-old state school pupils getting a higher education place","2014","Year","Black","ONS 2001 5+1","England","36","%","9435","26190"
"Percentage of 18-year-old state school pupils getting a higher education place","2014","Year","Chinese","ONS 2001 5+1","England","59.3","%","1320","2225"
"Percentage of 18-year-old state school pupils getting a higher education place","2014","Year","Mixed","ONS 2001 5+1","England","31","%","6300","20300"
"Percentage of 18-year-old state school pupils getting a higher education place","2014","Year","White","ONS 2001 5+1","England","27.3","%","124825","457120"
"Percentage of 18-year-old state school pupils getting a higher education place","2015","Year","Other","ONS 2001 5+1","England","36.8","%","2635","7150"
"Percentage of 18-year-old state school pupils getting a higher education place","2015","Year","Asian","ONS 2001 5+1","England","42.3","%","19720","46640"
"Percentage of 18-year-old state school pupils getting a higher education place","2015","Year","Black","ONS 2001 5+1","England","38.4","%","10565","27500"
"Percentage of 18-year-old state school pupils getting a higher education place","2015","Year","Chinese","ONS 2001 5+1","England","61","%","1325","2175"
"Percentage of 18-year-old state school pupils getting a higher education place","2015","Year","Mixed","ONS 2001 5+1","England","32.3","%","7025","21785"
"Percentage of 18-year-old state school pupils getting a higher education place","2015","Year","White","ONS 2001 5+1","England","27.9","%","129085","462250"
"Percentage of 18-year-old state school pupils getting a higher education place","2016","Year","Other","ONS 2001 5+1","England","38","%","2830","7455"
"Percentage of 18-year-old state school pupils getting a higher education place","2016","Year","Asian","ONS 2001 5+1","England","44.1","%","21205","48055"
"Percentage of 18-year-old state school pupils getting a higher education place","2016","Year","Black","ONS 2001 5+1","England","39.1","%","10655","27235"
"Percentage of 18-year-old state school pupils getting a higher education place","2016","Year","Chinese","ONS 2001 5+1","England","60.9","%","1240","2035"
"Percentage of 18-year-old state school pupils getting a higher education place","2016","Year","Mixed","ONS 2001 5+1","England","33.4","%","7485","22425"
"Percentage of 18-year-old state school pupils getting a higher education place","2016","Year","White","ONS 2001 5+1","England","28.9","%","130205","451315"
"Percentage of 18-year-old state school pupils getting a higher education place","2017","Year","Other","ONS 2001 5+1","England","40.1","%","3105","7730"
"Percentage of 18-year-old state school pupils getting a higher education place","2017","Year","Asian","ONS 2001 5+1","England","45.8","%","22610","49390"
"Percentage of 18-year-old state school pupils getting a higher education place","2017","Year","Black","ONS 2001 5+1","England","40.3","%","11055","27410"
"Percentage of 18-year-old state school pupils getting a higher education place","2017","Year","Chinese","ONS 2001 5+1","England","63","%","1235","1955"
"Percentage of 18-year-old state school pupils getting a higher education place","2017","Year","Mixed","ONS 2001 5+1","England","34","%","7795","22905"
"Percentage of 18-year-old state school pupils getting a higher education place","2017","Year","White","ONS 2001 5+1","England","29.3","%","129860","443335"
"Percentage of 18-year-old state school pupils getting a higher education place","2018","Year","Other","ONS 2001 5+1","England","40.1","%","3255","8115"
"Percentage of 18-year-old state school pupils getting a higher education place","2018","Year","Asian","ONS 2001 5+1","England","46.7","%","23855","51135"
"Percentage of 18-year-old state school pupils getting a higher education place","2018","Year","Black","ONS 2001 5+1","England","41.1","%","11565","28115"
