"Ethnicity","%","Number of respondents"
"All","9","27,159"
"Asian","17","2,154"
"Black","15","794"
"Mixed","14","296"
"White","9","23,020"
"White British","9","21,742"
"White other","8","1,278"
"Other","19","143"
