"","All","","Asian","","Black","","Mixed","","White","","Other",""
"Time","%","Number of respondents","%","Number of respondents","%","Number of respondents","%","Number of respondents","%","Number of respondents","%","Number of respondents"
"2012/13","78.4","9,838","66.0","394","73.4","188","79.1","171","79.5","9,054","?","22"
"2013/14","77.5","10,355","65.2","404","72.8","203","82.9","142","78.5","9,546","74.9","49"
"2014/15","76.8","9,817","66.7","367","66.7","239","80.0","99","77.9","9,050","66.8","52"
"2015/16","76.1","10,171","59.3","434","69.7","242","81.8","119","77.6","9,312","72.3","55"
"2016/17","77.4","9,352","66.8","423","68.7","242","81.4","170","78.5","8,473","?","27"
"2017/18","78.9","7,715","64.4","397","74.0","203","86.8","144","80.1","6,854","72.5","79"
"2018/19","77.4","8,161","59.7","487","68.5","226","88.7","121","79.3","7,239","66.5","46"
