"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Denominator","Numerator"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","East Sussex","Local authority","E10000011","All","48.5","4376","212244.13"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Leicester","Local authority","E06000016","Girls","49.5","1918","94988.88"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Wakefield","Local authority","E08000036","Boys","46.2","1918","88589.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Cheshire East","Local authority","E06000049","Girls","54.3","1910","103651.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Cheshire East","Local authority","E06000049","Boys","48.6","1893","92035.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Enfield","Local authority","E09000010","All","49.8","3767","187705.44"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Coventry","Local authority","E08000026","Boys","43.9","1889","82959.75"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Enfield","Local authority","E09000010","All","61.9","316","19558.38"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","Enfield","Local authority","E09000010","All","46.7","963","44986.88"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Croydon","Local authority","E09000008","Boys","45","1886","84842.75"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2019-2020","Academic year","Enfield","Local authority","E09000010","All","58.1","11","639"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","Enfield","Local authority","E09000010","All","52.3","336","17577.89"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","West Midlands","Region","E12000005","Girls","49.8","1880","93698"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Coventry","Local authority","E08000026","Girls","50.4","1877","94681.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","West Midlands","Region","E12000005","Boys","42.4","1870","79210.76"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Croydon","Local authority","E09000008","Girls","52.8","1869","98633.25"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Enfield","Local authority","E09000010","All","49","1798","88045.29"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","England","Country","E92000001","All","50.2","561994","28195360.06"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Redbridge","Local authority","E09000026","Girls","58.4","1861","108747.75"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","England","Country","E92000001","All","54.5","61023","3323048.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","England","Country","E92000001","All","48.9","32935","1610293.55"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2019-2020","Academic year","England","Country","E92000001","All","67.6","1959","132440.54"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","England","Country","E92000001","All","50.8","29481","1498633.08"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","England","Country","E92000001","All","49.7","416504","20701968.79"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Bournemouth, Christchurch and Poole","Local authority","E06000058","Boys","51.6","1828","94368.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Essex","Local authority","E10000012","All","49.6","15188","753942.63"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Enfield","Local authority","E09000010","Girls","52.8","1825","96277.93"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Essex","Local authority","E10000012","All","67.2","425","28579"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Bolton","Local authority","E08000001","Boys","45.7","1819","83198.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Cheshire West and Chester","Local authority","E06000050","Boys","47.6","1815","86308.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","Essex","Local authority","E10000012","All","53.5","565","30254"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Bristol, City of","Local authority","E06000023","Boys","45.4","1802","81859"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2019-2020","Academic year","Essex","Local authority","E10000012","All","71.4","62","4429.5"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","Essex","Local authority","E10000012","All","51.6","657","33921.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Wakefield","Local authority","E08000036","Girls","51.5","1797","92619.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Dorset","Local authority","E06000059","Boys","46.9","1794","84059.75"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Essex","Local authority","E10000012","All","48.7","13102","637851.38"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Gateshead","Local authority","E08000037","All","50.3","1935","97336.75"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Cheshire East","Local authority","E06000049","Girls","54.2","1779","96339"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Wigan","Local authority","E08000010","Girls","52.6","1777","93558"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Bromley","Local authority","E09000006","Girls","57.5","1774","101921.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Gateshead","Local authority","E08000037","All","60.1","53","3184.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","Gateshead","Local authority","E08000037","All","50.8","29","1474.5"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","West Midlands","Region","E12000005","Boys","44.5","1766","78672.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Dorset","Local authority","E06000059","Girls","52.6","1765","92883.38"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Cheshire East","Local authority","E06000049","Boys","48.7","1762","85791.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Sandwell","Local authority","E08000028","Girls","49.4","1760","87002.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Wirral","Local authority","E08000015","Girls","54.5","1758","95879"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2019-2020","Academic year","Gateshead","Local authority","E08000037","All","70.7","9","636.5"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Wakefield","Local authority","E08000036","Boys","46.2","1751","80817"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","Gateshead","Local authority","E08000037","All","54.5","34","1853.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Bournemouth, Christchurch and Poole","Local authority","E06000058","Girls","56.5","1744","98493.25"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Gateshead","Local authority","E08000037","All","49.8","1781","88769.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Wirral","Local authority","E08000015","Boys","48.5","1741","84399.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Cheshire West and Chester","Local authority","E06000050","Girls","53.7","1736","93199"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Cheshire West and Chester","Local authority","E06000050","Boys","47.5","1734","82303.25"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Dorset","Local authority","E06000059","Boys","46.9","1732","81226.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Bolton","Local authority","E08000001","Girls","51.1","1730","88394.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Dudley","Local authority","E08000027","Boys","45.6","1724","78553.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Gloucestershire","Local authority","E10000013","All","52.9","6359","336347.25"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Gloucestershire","Local authority","E10000013","All","64.5","196","12633"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Hillingdon","Local authority","E09000017","Boys","48.7","1718","83693.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","Gloucestershire","Local authority","E10000013","All","48.1","87","4188.25"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2019-2020","Academic year","Gloucestershire","Local authority","E10000013","All","62.4","17","1060"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","Gloucestershire","Local authority","E10000013","All","54.4","265","14420.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Wigan","Local authority","E08000010","Boys","45.7","1705","77931"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","West Midlands","Region","E12000005","Girls","50.4","1695","85505.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Walsall","Local authority","E08000030","Boys","44.7","1691","75580.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Walsall","Local authority","E08000030","Girls","50.1","1691","84735"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","East of England","Region","E12000006","Girls","55.2","1685","92939.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Bristol, City of","Local authority","E06000023","Girls","52.1","1679","87465.25"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Wigan","Local authority","E08000010","Girls","52.6","1677","88199.5"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Dorset","Local authority","E06000059","Girls","52.6","1677","88170.63"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Gloucestershire","Local authority","E10000013","All","52.5","5650","296879.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Greenwich","Local authority","E09000011","All","50.2","2448","122893"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Greenwich","Local authority","E09000011","All","54.7","191","10441.25"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","East of England","Region","E12000006","Boys","47.9","1649","78912.01"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Kirklees","Local authority","E08000034","Boys","45.6","1647","75066.25"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Cheshire West and Chester","Local authority","E06000050","Girls","53.6","1646","88178.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","Greenwich","Local authority","E09000011","All","49.9","799","39903.5"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2019-2020","Academic year","Greenwich","Local authority","E09000011","All","65.5","21","1376.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Northumberland","Local authority","E06000057","Boys","47.5","1638","77768.75"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","Greenwich","Local authority","E09000011","All","50.2","237","11893.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Bromley","Local authority","E09000006","Boys","51.4","1637","84112.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Milton Keynes","Local authority","E06000042","Boys","44.2","1636","72248"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Bexley","Local authority","E09000004","Boys","51","1630","83162.5"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Greenwich","Local authority","E09000011","All","49.3","1114","54935.25"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Wirral","Local authority","E08000015","Girls","53.9","1623","87550"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Hackney","Local authority","E09000012","All","53.2","2286","121648.4"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Wigan","Local authority","E08000010","Boys","45.7","1619","73941.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","East Riding of Yorkshire","Local authority","E06000011","Girls","52.9","1618","85644.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Rotherham","Local authority","E08000018","Boys","44.6","1618","72236.25"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Hackney","Local authority","E09000012","All","55.9","283","15819.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Brent","Local authority","E09000005","Boys","51","1616","82367"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Wakefield","Local authority","E08000036","Girls","51.5","1612","82987.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","East Riding of Yorkshire","Local authority","E06000011","Boys","46.9","1609","75524.5"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Wirral","Local authority","E08000015","Boys","47.7","1604","76532.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Tower Hamlets","Local authority","E09000030","Girls","52.1","1603","83554.27"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","Hackney","Local authority","E09000012","All","48.1","869","41826.75"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2019-2020","Academic year","Hackney","Local authority","E09000012","All","65.1","16","1041.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Medway","Local authority","E06000035","Girls","52.1","1596","83150.52"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Bournemouth, Christchurch and Poole","Local authority","E06000058","Boys","51.7","1590","82125.75"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","Hackney","Local authority","E09000012","All","56.9","206","11724.13"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Dudley","Local authority","E08000027","Girls","49","1585","77652.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Hillingdon","Local authority","E09000017","Girls","55.7","1583","88208.64"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Hackney","Local authority","E09000012","All","56.7","743","42140.26"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Rotherham","Local authority","E08000018","Girls","51.7","1575","81355.13"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Halton","Local authority","E06000006","All","47.6","1448","68982.5"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Northumberland","Local authority","E06000057","Boys","47.4","1572","74517.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Oldham","Local authority","E08000004","Girls","48","1570","75419"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Solihull","Local authority","E08000029","Boys","48.4","1565","75717.63"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Oldham","Local authority","E08000004","Boys","41.6","1558","64765"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Halton","Local authority","E06000006","All","64.3","5","321.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Trafford","Local authority","E08000009","Boys","57","1554","88539.95"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","East Riding of Yorkshire","Local authority","E06000011","Girls","52.9","1547","81800.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","Halton","Local authority","E06000006","All","54.3","2","108.5"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","East Riding of Yorkshire","Local authority","E06000011","Boys","47","1539","72286.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Derby","Local authority","E06000015","Boys","43.7","1537","67171.25"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2019-2020","Academic year","Halton","Local authority","E06000006","All","!","1","!"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Bournemouth, Christchurch and Poole","Local authority","E06000058","Girls","56.4","1534","86451.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Doncaster","Local authority","E08000017","Boys","43.6","1534","66873.75"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","Halton","Local authority","E06000006","All","55.8","32","1785"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Halton","Local authority","E06000006","All","47.2","1373","64774"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Hammersmith and Fulham","Local authority","E09000013","All","56.1","1458","81785.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Ealing","Local authority","E09000009","Boys","50.2","1525","76509.38"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","North West","Region","E12000002","Girls","51.9","1524","79057.26"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Hammersmith and Fulham","Local authority","E09000013","All","58.4","128","7472.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Doncaster","Local authority","E08000017","Girls","50","1521","76054"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Bexley","Local authority","E09000004","Girls","56.1","1520","85212.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Ealing","Local authority","E09000009","Girls","56.8","1518","86206.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Wolverhampton","Local authority","E08000031","Boys","44.8","1516","67914.26"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Kirklees","Local authority","E08000034","Girls","52","1510","78474.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Wolverhampton","Local authority","E08000031","Girls","53.7","1507","80907.41"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Northumberland","Local authority","E06000057","Girls","52","1500","77965.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Sefton","Local authority","E08000014","Girls","50.5","1497","75593.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Nottingham","Local authority","E06000018","Boys","42.4","1496","63416.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Medway","Local authority","E06000035","Boys","47.3","1495","70776"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Bradford","Local authority","E08000032","Boys","42.1","1493","62841.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Milton Keynes","Local authority","E06000042","Girls","50.4","1492","75190.25"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","Inner London","Region","E12000007","Girls","55.4","1487","82442.13"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Tower Hamlets","Local authority","E09000030","Boys","47.9","1479","70892.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Hounslow","Local authority","E09000018","Boys","49.9","1478","73715.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Trafford","Local authority","E08000009","Girls","61.6","1475","90868.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","Hammersmith and Fulham","Local authority","E09000013","All","50.1","315","15772.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Shropshire","Local authority","E06000051","Boys","47","1469","68998.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Sutton","Local authority","E09000029","Boys","59.6","1467","87484.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Stockport","Local authority","E08000007","Boys","48.5","1464","70968.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Solihull","Local authority","E08000029","Girls","52.5","1464","76850.13"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Brent","Local authority","E09000005","Girls","55.5","1462","81132"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","North West","Region","E12000002","Boys","46","1460","67144.01"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2019-2020","Academic year","Hammersmith and Fulham","Local authority","E09000013","All","63.4","9","571"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","Hammersmith and Fulham","Local authority","E09000013","All","55.1","183","10091"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Sutton","Local authority","E09000029","Girls","63.1","1453","91620.65"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Havering","Local authority","E09000016","Boys","50.1","1451","72649.5"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Hammersmith and Fulham","Local authority","E09000013","All","60.1","612","36773.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Sefton","Local authority","E08000014","Boys","44.6","1448","64609.25"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Northumberland","Local authority","E06000057","Girls","51.9","1445","74948.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Derby","Local authority","E06000015","Girls","49","1442","70615.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Shropshire","Local authority","E06000051","Girls","52.1","1441","75049"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Bradford","Local authority","E08000032","Girls","50","1441","72091.25"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","Inner London","Region","E12000007","Boys","50.5","1440","72788"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Hounslow","Local authority","E09000018","Girls","55.3","1438","79532.88"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Bradford","Local authority","E08000032","Girls","47.5","1435","68158.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Kingston upon Hull, City of","Local authority","E06000010","Boys","43.9","1434","62927.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Hampshire","Local authority","E10000014","All","50.8","12987","660005.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Central Bedfordshire","Local authority","E06000056","Boys","45.3","1427","64579.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Sunderland","Local authority","E08000024","Boys","45.3","1425","64503.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Bradford","Local authority","E08000032","Boys","44.3","1412","62546.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Luton","Local authority","E06000032","Boys","44","1410","61989.14"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Hampshire","Local authority","E10000014","All","55.1","322","17729"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Rotherham","Local authority","E08000018","Boys","44.5","1401","62278"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Nottingham","Local authority","E06000018","Girls","48.4","1400","67816.5"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Shropshire","Local authority","E06000051","Boys","47.1","1399","65856.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","Hampshire","Local authority","E10000014","All","50.7","122","6186.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Havering","Local authority","E09000016","Girls","53.8","1391","74812"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Doncaster","Local authority","E08000017","Girls","49.8","1390","69236.75"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2019-2020","Academic year","Hampshire","Local authority","E10000014","All","70.3","35","2458.75"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Doncaster","Local authority","E08000017","Boys","43.6","1383","60270.5"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Shropshire","Local authority","E06000051","Girls","52.2","1375","71828.75"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Rotherham","Local authority","E08000018","Girls","51.5","1375","70783.88"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","Hampshire","Local authority","E10000014","All","52.8","427","22542"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Sunderland","Local authority","E08000024","Girls","51","1373","70046.25"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Hampshire","Local authority","E10000014","All","50.6","11875","600665.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","South East","Region","E12000008","Boys","47.5","1367","64898.5"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Sefton","Local authority","E08000014","Girls","51.6","1360","70127"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Haringey","Local authority","E09000014","All","51.4","2484","127632.63"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Tameside","Local authority","E08000008","Girls","50.7","1358","68917.88"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Haringey","Local authority","E09000014","All","57.5","173","9956"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Dudley","Local authority","E08000027","Boys","45.9","1354","62110.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Waltham Forest","Local authority","E09000031","Boys","47","1350","63404.63"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Southwark","Local authority","E09000028","Girls","56.1","1348","75596.38"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","South Gloucestershire","Local authority","E06000025","Boys","47.3","1348","63732"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Luton","Local authority","E06000032","Girls","49.5","1344","66520.01"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Stockport","Local authority","E08000007","Girls","54.4","1344","73097.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Waltham Forest","Local authority","E09000031","Girls","53.1","1343","71309.51"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","Haringey","Local authority","E09000014","All","47.2","617","29127.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Calderdale","Local authority","E08000033","Boys","49.4","1342","66246.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","South East","Region","E12000008","Girls","54.7","1336","73077.15"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Sunderland","Local authority","E08000024","Boys","44.9","1326","59473.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Plymouth","Local authority","E06000026","Boys","45.3","1326","60055.25"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2019-2020","Academic year","Haringey","Local authority","E09000014","All","63.9","12","767"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Sefton","Local authority","E08000014","Boys","45.8","1322","60492.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Stoke-on-Trent","Local authority","E06000021","Girls","49.8","1313","65387.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Southwark","Local authority","E09000028","Boys","51.3","1311","67284.25"
