"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Denominator","Numerator"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","South East","Region","E12000008","Boys","48.1","37261","1792293.02"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","South East","Region","E12000008","Girls","53.4","35264","1884267.84"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Bath and North East Somerset","Local authority","E06000022","All","59.9","30","1797.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","West Midlands","Region","E12000005","Boys","46.1","32795","1511409.41"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","East of England","Region","E12000006","Boys","47.4","32546","1542553.04"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","Bath and North East Somerset","Local authority","E06000022","All","51.4","24","1233"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","North West","Region","E12000002","Boys","45.7","31372","1433537.16"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","West Midlands","Region","E12000005","Girls","52","31267","1626765.12"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","East of England","Region","E12000006","Girls","53.4","31136","1662646.14"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","England","Country","E92000001","Boys","51.9","31129","1616872.93"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","North West","Region","E12000002","Girls","51.8","30572","1582494.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","England","Country","E92000001","Girls","57.1","29894","1706175.82"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2019-2020","Academic year","Bath and North East Somerset","Local authority","E06000022","All","68.5","4","274"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Yorkshire and The Humber","Region","E12000003","Boys","45.5","29408","1339140.01"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Yorkshire and The Humber","Region","E12000003","Girls","51.1","28136","1438499.38"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","Bath and North East Somerset","Local authority","E06000022","All","50.2","112","5627.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Outer London","Region","E12000007","Boys","50.9","27853","1417652.29"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Outer London","Region","E12000007","Girls","56.4","27144","1530583.65"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","South West","Region","E12000009","Boys","47.8","26673","1274010.77"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","East of England","Region","E12000006","Boys","46.9","26566","1247228.39"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Bath and North East Somerset","Local authority","E06000022","All","53.6","1845","98973.13"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","South West","Region","E12000009","Girls","53.2","25658","1363959.93"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","East of England","Region","E12000006","Girls","52.7","25264","1331519.39"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","East Midlands","Region","E12000004","Boys","46.5","24819","1153580.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Bedford","Local authority","E06000055","All","48.7","1943","94552.38"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Bedford","Local authority","E06000055","All","49","286","14010.38"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","South West","Region","E12000009","Boys","47.8","23889","1142495.52"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","East Midlands","Region","E12000004","Girls","51.9","23723","1231209.76"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","South West","Region","E12000009","Girls","53.2","22931","1219514.91"
