"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Denominator","Numerator"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","County Durham","Local authority","E06000047","All"," 11-16","45","4796","215856.63"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Darlington","Local authority","E06000005","All"," 11-16","46.6","1156","53915.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Middlesbrough","Local authority","E06000002","All"," 11-16","41.5","1347","55936.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Newcastle upon Tyne","Local authority","E08000021","All"," 11-16","43.6","2387","103994.27"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","North Tyneside","Local authority","E08000022","All"," 11-16","45.9","2007","92213"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Northumberland","Local authority","E06000057","All"," 11-16","46.5","3004","139577"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Redcar and Cleveland","Local authority","E06000003","All"," 11-16","43.8","1539","67345.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","South Tyneside","Local authority","E08000023","All"," 11-16","42.6","1568","66772.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Stockton-on-Tees","Local authority","E06000004","All"," 11-16","46.4","2027","94063.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Sunderland","Local authority","E08000024","All"," 11-16","42.9","2788","119653.63"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Blackburn with Darwen","Local authority","E06000008","All"," 11-16","46.4","1875","87018.68"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Cheshire East","Local authority","E06000049","All"," 11-16","49.3","3727","183814.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Cheshire West and Chester","Local authority","E06000050","All"," 11-16","46.9","3461","162399.38"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Cumbria","Local authority","E10000006","All"," 11-16","46.1","4930","227474.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Halton","Local authority","E06000006","All"," 11-16","45.4","1363","61914.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Knowsley","Local authority","E08000011","All"," 11-16","33.8","994","33560.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Lancashire","Local authority","E10000017","All"," 11-16","46.7","12086","564888.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Gateshead","Local authority","E08000037","All"," 11-16","46.9","1842","86413.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Hartlepool","Local authority","E06000001","All"," 11-16","43","994","42748.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Blackpool","Local authority","E06000009","All"," 11-16","37.8","1156","43717.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Bolton","Local authority","E08000001","All"," 11-16","44.6","3325","148350.88"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Bury","Local authority","E08000002","All"," 11-16","43.5","2132","92812.38"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Rochdale","Local authority","E08000005","All"," 11-16","42.6","2350","100118.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Salford","Local authority","E08000006","All"," 11-16","39.3","2100","82560.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Sefton","Local authority","E08000014","All"," 11-16","44.2","2935","129604.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Calderdale","Local authority","E08000033","All"," 11-16","49.2","2547","125293.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Doncaster","Local authority","E08000017","All"," 11-16","44","3003","132072.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Sheffield","Local authority","E08000019","All"," 11-16","44.9","5224","234473.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Wakefield","Local authority","E08000036","All"," 11-16","45.3","3463","156951.39"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","York","Local authority","E06000014","All"," 11-16","51.4","1699","87268"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Derby","Local authority","E06000015","All"," 11-16","43.3","2845","123112"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Birmingham","Local authority","E08000025","All"," 11-16","46.6","13034","607588.35"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Coventry","Local authority","E08000026","All"," 11-16","43.6","3513","153140.01"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Dudley","Local authority","E08000027","All"," 11-16","43.9","3299","144667.13"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Wolverhampton","Local authority","E08000031","All"," 11-16","45.1","2770","124794.8"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Worcestershire","Local authority","E10000034","All"," 11-16","46.6","5439","253275.38"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Bedford","Local authority","E06000055","All"," 11-16","45.2","1843","83299.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Liverpool","Local authority","E08000012","All"," 11-16","43.1","4723","203733.93"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Manchester","Local authority","E08000003","All"," 11-16","43.3","4993","216298.76"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Oldham","Local authority","E08000004","All"," 11-16","42.1","2994","126145.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","St. Helens","Local authority","E08000013","All"," 11-16","44.5","1757","78129"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Stockport","Local authority","E08000007","All"," 11-16","47.4","2657","126029.63"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Tameside","Local authority","E08000008","All"," 11-16","44.2","2486","109879.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Trafford","Local authority","E08000009","All"," 11-16","56.1","2925","163983.67"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Warrington","Local authority","E06000007","All"," 11-16","48.8","2297","112120.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Wigan","Local authority","E08000010","All"," 11-16","45.4","3352","152084.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Wirral","Local authority","E08000015","All"," 11-16","48.4","3388","163889.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Barnsley","Local authority","E08000016","All"," 11-16","44.1","2097","92556.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Bradford","Local authority","E08000032","All"," 11-16","42.4","6080","257688.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","East Riding of Yorkshire","Local authority","E06000011","All"," 11-16","47.1","3093","145794.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Kingston upon Hull, City of","Local authority","E06000010","All"," 11-16","43.9","2355","103337.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Kirklees","Local authority","E08000034","All"," 11-16","45.3","4706","213085.38"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Leeds","Local authority","E08000035","All"," 11-16","45.1","7621","343632.53"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","North East Lincolnshire","Local authority","E06000012","All"," 11-16","41.4","1606","66479.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","North Lincolnshire","Local authority","E06000013","All"," 11-16","44.6","1672","74601"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","North Yorkshire","Local authority","E10000023","All"," 11-16","48.7","6135","298589.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Rotherham","Local authority","E08000018","All"," 11-16","44.4","3140","139489.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Derbyshire","Local authority","E10000007","All"," 11-16","46.2","7249","335108.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Leicester","Local authority","E06000016","All"," 11-16","43.1","3576","154230.9"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Southend-on-Sea","Local authority","E06000033","All"," 11-16","53","2059","109102.01"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Suffolk","Local authority","E10000029","All"," 11-16","44.9","6972","312755"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Thurrock","Local authority","E06000034","All"," 11-16","43.6","1748","76263.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Camden","Local authority","E09000007","All"," 11-16","48.6","1571","76302.15"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Southwark","Local authority","E09000028","All"," 11-16","49.5","2509","124141.63"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Tower Hamlets","Local authority","E09000030","All"," 11-16","48.4","2808","135776.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Wandsworth","Local authority","E09000032","All"," 11-16","49.4","1785","88214.52"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Westminster","Local authority","E09000033","All"," 11-16","53.4","1655","88313.13"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Greenwich","Local authority","E09000011","All"," 11-16","45.3","2364","107020.14"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Harrow","Local authority","E09000015","All"," 11-16","50.9","2210","112591.76"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Havering","Local authority","E09000016","All"," 11-16","48.5","2829","137159.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Brighton and Hove","Local authority","E06000043","All"," 11-16","47.6","2221","105776.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Buckinghamshire","Local authority","E10000002","All"," 11-16","55.1","5789","319045.26"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","East Sussex","Local authority","E10000011","All"," 11-16","45.3","4784","216847.13"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Southampton","Local authority","E06000045","All"," 11-16","44.1","1958","86372.88"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Surrey","Local authority","E10000030","All"," 11-16","50.3","10388","522962.76"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Dorset","Local authority","E06000059","All"," 11-16","46.4","3500","162320.5"
