"Ethnicity","Average Point Score","Grade","Number of Students"
"All","28.64","Merit+","19,485"
"Asian","29.12","Merit+","1,626"
"Bangladeshi","28.95","Merit+","267"
"Indian","29.82","Merit+","363"
"Pakistani","29.27","Merit+","788"
"Asian other","27.60","Merit+","208"
"Black","28.06","Merit+","803"
"Black African","27.95","Merit+","506"
"Black Caribbean","28.63","Merit+","215"
"Black other","27.09","Merit+","82"
"Chinese","30.64","Dist-","45"
"Mixed","27.57","Merit+","579"
"Mixed White/Asian","27.84","Merit+","113"
"Mixed White/Black African","26.87","Merit+","72"
"Mixed White/Black Caribbean","27.75","Merit+","182"
"Mixed other","27.51","Merit+","212"
"White","28.61","Merit+","15,341"
"White British","28.65","Merit+","14,619"
"White Irish","24.74","Merit","40"
"Gypsy/Roma","29.89","Merit+","12"
"Irish Traveller","N/A","N/A","0"
"White other","27.83","Merit+","670"
"Other","28.72","Merit+","215"
"Unknown","29.52","Merit+","876"
