"Ethnicity","Average Point Score","Grade","Number of Students"
"All","28.91","Merit+","68,772"
"Asian","29.09","Merit+","8,706"
"Bangladeshi","29.85","Merit+","1,629"
"Indian","29.69","Merit+","2,263"
"Pakistani","28.43","Merit+","3,536"
"Asian other","28.93","Merit+","1,278"
"Black","27.27","Merit+","4,879"
"Black African","27.22","Merit+","3,429"
"Black Caribbean","27.56","Merit+","960"
"Black other","27.08","Merit+","490"
"Chinese","30.19","Dist-","195"
"Mixed","28.24","Merit+","2,664"
"Mixed White/Asian","27.65","Merit+","538"
"Mixed White/Black African","28.32","Merit+","357"
"Mixed White/Black Caribbean","27.81","Merit+","757"
"Mixed other","28.84","Merit+","1,012"
"White","29.04","Merit+","47,371"
"White British","29.09","Merit+","44,086"
"White Irish","28.95","Merit+","178"
"Gypsy/Roma","26.57","Merit","38"
"Irish Traveller","28.00","Merit+","7"
"White other","28.39","Merit+","3,062"
"Other","29.13","Merit+","1,198"
"Unknown","29.60","Merit+","3,759"
