"","2016-17","","2017-18","","2018-19",""
"Ethnicity","%","Number of respondents","%","Number of respondents","%","Number of respondents"
"All","22","10,256","22","10,217","22","10,627"
"Asian","17","1,111","18","926","16","909"
"Black","25","360","24","353","25","348"
"Mixed","16","467","19","510","19","499"
"White","23","8,022","23","8,108","22","8,560"
"Other","23","163","18","124","22","125"
