"","2015","","2016","","2017","","2018","","2019",""
"Ethnicity","£","Headcount","£","Headcount","£","Headcount","£","Headcount","£","Headcount"
"All","25,000","439,320","25,400","418,340","25,900","419,400","26,600","430,080","27,100","445,480"
"Asian","24,700","18,560","25,000","18,690","25,600","19,780","26,700","20,470","27,200","23,190"
"Black","26,000","10,210","26,500","9,950","26,900","10,230","27,500","10,350","28,400","11,990"
"Chinese","26,600","890","27,200","880","27,400","910","28,600","960","29,500","1,080"
"Mixed","26,400","4,410","27,000","4,460","27,500","4,740","28,500","4,950","29,600","6,140"
"White","25,000","305,550","25,600","284,140","26,000","283,740","26,800","283,300","27,200","304,850"
"Other","27,800","2,040","28,000","1,710","28,500","1,750","29,100","1,740","30,000","1,980"
"Unknown","25,000","97,620","25,200","98,510","25,500","98,250","25,900","108,310","26,500","96,260"
