"","2017/18","","2018/19","","2019/20",""
"Ethnicity","%","Sample size","%","Sample size","%","Sample size"
"All","5.3","13,551","5.7","13,188","5.5","24,511"
"Asian","4.6","812","3.8","784","3.6","1,532"
"Bangladeshi","!","!","1.1","80","1.4","130"
"Chinese","!","!","2.1","67","2.0","145"
"Indian","4.2","337","4.0","317","4.9","609"
"Pakistani","4.3","201","4.5","177","3.5","351"
"Asian other","3.7","139","5.2","143","3.1","297"
"Black","5.7","364","7.1","353","3.7","725"
"Black African","4.5","207","5.3","230","4.1","453"
"Black Caribbean","!","!","13.2","104","3.2","214"
"Black other","!","!","?","19","2.5","58"
"Mixed","5.8","161","12.9","175","7.6","339"
"Mixed White/Asian","!","!","?","45","8.8","94"
"Mixed White/Black African","!","!","?","27","?","43"
"Mixed White/Black Caribbean","6.8","56","17.3","59","10.6","106"
"Mixed other","?","40","?","44","4.8","96"
"White","5.4","12,086","5.6","11,741","5.7","21,679"
"White British","5.6","11,209","5.9","10,797","5.9","20,015"
"White Irish","!","!","!","!","6.4","171"
"White Gypsy/Traveller","!","!","!","!","?","6"
"White other","3.3","781","2.9","858","3.6","1,487"
"Other","2.4","120","6.7","113","5.6","208"
"Arab","!","!","?","35","5.8","87"
"Any other","!","!","7.1","78","5.5","121"
