"Time","Ethnicity","%","Sample size"
"2017/18","All","5.3","13,551"
"2017/18","Asian","4.6","812"
"2017/18","Bangladeshi","!","!"
"2017/18","Chinese","!","!"
"2017/18","Indian","4.2","337"
"2017/18","Pakistani","4.3","201"
"2017/18","Asian other","3.7","139"
"2017/18","Black","5.7","364"
"2017/18","Black African","4.5","207"
"2017/18","Black Caribbean","!","!"
"2017/18","Black other","!","!"
"2017/18","Mixed","5.8","161"
"2017/18","Mixed White/Asian","!","!"
"2017/18","Mixed White/Black African","!","!"
"2017/18","Mixed White/Black Caribbean","6.8","56"
"2017/18","Mixed other","?","40"
"2017/18","White","5.4","12,086"
"2017/18","White British","5.6","11,209"
"2017/18","White Irish","!","!"
"2017/18","White Gypsy/Traveller","!","!"
"2017/18","White other","3.3","781"
"2017/18","Other","2.4","120"
"2017/18","Arab","!","!"
"2017/18","Any other","!","!"
"2018/19","All","5.7","13,188"
"2018/19","Asian","3.8","784"
"2018/19","Bangladeshi","1.1","80"
"2018/19","Chinese","2.1","67"
"2018/19","Indian","4.0","317"
"2018/19","Pakistani","4.5","177"
"2018/19","Asian other","5.2","143"
"2018/19","Black","7.1","353"
"2018/19","Black African","5.3","230"
"2018/19","Black Caribbean","13.2","104"
"2018/19","Black other","?","19"
"2018/19","Mixed","12.9","175"
"2018/19","Mixed White/Asian","?","45"
"2018/19","Mixed White/Black African","?","27"
"2018/19","Mixed White/Black Caribbean","17.3","59"
"2018/19","Mixed other","?","44"
"2018/19","White","5.6","11,741"
"2018/19","White British","5.9","10,797"
"2018/19","White Irish","!","!"
"2018/19","White Gypsy/Traveller","!","!"
"2018/19","White other","2.9","858"
"2018/19","Other","6.7","113"
"2018/19","Arab","?","35"
"2018/19","Any other","7.1","78"
"2019/20","All","5.5","24,511"
"2019/20","Asian","3.6","1,532"
"2019/20","Bangladeshi","1.4","130"
"2019/20","Chinese","2.0","145"
"2019/20","Indian","4.9","609"
"2019/20","Pakistani","3.5","351"
"2019/20","Asian other","3.1","297"
"2019/20","Black","3.7","725"
"2019/20","Black African","4.1","453"
"2019/20","Black Caribbean","3.2","214"
"2019/20","Black other","2.5","58"
"2019/20","Mixed","7.6","339"
"2019/20","Mixed White/Asian","8.8","94"
"2019/20","Mixed White/Black African","?","43"
"2019/20","Mixed White/Black Caribbean","10.6","106"
"2019/20","Mixed other","4.8","96"
"2019/20","White","5.7","21,679"
"2019/20","White British","5.9","20,015"
"2019/20","White Irish","6.4","171"
"2019/20","White Gypsy/Traveller","?","6"
"2019/20","White other","3.6","1,487"
"2019/20","Other","5.6","208"
"2019/20","Arab","5.8","87"
"2019/20","Any other","5.5","121"
