"","Apprenticeship starts","Population (2018 estimate)"
"Ethnicity","%","%"
"Asian","5.5","8.4"
"Black","3.5","3.8"
"Mixed","2.7","2.8"
"White","87.5","84.0"
"Other","0.8","1.1"
