"Grouping","Ethnicity","%"
"Apprenticeship starts","Asian","5.5"
"Apprenticeship starts","Black","3.5"
"Apprenticeship starts","Mixed","2.7"
"Apprenticeship starts","White","87.5"
"Apprenticeship starts","Other","0.8"
"Population (2018 estimate)","Asian","8.4"
"Population (2018 estimate)","Black","3.8"
"Population (2018 estimate)","Mixed","2.8"
"Population (2018 estimate)","White","84.0"
"Population (2018 estimate)","Other","1.1"
