"Age Bracket","Ethnicity","%","Starts"
"All","Asian","5.5","21,370"
"All","Black","3.5","13,510"
"All","Mixed","2.7","10,520"
"All","White","87.5","338,330"
"All","Other","0.8","2,990"
"Under 19","Asian","0.8","3,210"
"Under 19","Black","0.4","1,370"
"Under 19","Mixed","0.7","2,690"
"Under 19","White","23.1","89,170"
"Under 19","Other","0.1","390"
"19-24","Asian","1.9","7,250"
"19-24","Black","0.8","3,030"
"19-24","Mixed","0.9","3,460"
"19-24","White","25.9","100,030"
"19-24","Other","0.2","730"
"25+","Asian","2.8","10,910"
"25+","Black","2.4","9,110"
"25+","Mixed","1.1","4,370"
"25+","White","38.6","149,130"
"25+","Other","0.5","1,870"
