"FSM","Ethnicity","Score","Pupils"
"Free school meals","All","34.9","76,237"
"Free school meals","Asian","43.8","9,394"
"Free school meals","Bangladeshi","46.4","2,504"
"Free school meals","Indian","48.2","1,070"
"Free school meals","Pakistani","41.0","4,650"
"Free school meals","Asian other","45.0","1,170"
"Free school meals","Black","39.4","7,131"
"Free school meals","Black African","42.3","4,326"
"Free school meals","Black Caribbean","34.1","1,896"
"Free school meals","Black other","36.7","909"
"Free school meals","Chinese","57.9","130"
"Free school meals","Mixed","36.8","5,406"
"Free school meals","Mixed White/Asian","38.9","847"
"Free school meals","Mixed White/Black African","40.2","699"
"Free school meals","Mixed White/Black Caribbean","32.4","1,974"
"Free school meals","Mixed other","39.3","1,886"
"Free school meals","White","32.0","50,614"
"Free school meals","White British","31.8","47,358"
"Free school meals","White Irish","37.0","214"
"Free school meals","Gypsy/Roma","16.9","418"
"Free school meals","Irish Traveller","22.2","85"
"Free school meals","White other","39.0","2,539"
"Free school meals","Other","42.4","2,388"
"Free school meals","Unknown","33.9","1,174"
"No free school meals","All","48.6","466,331"
"No free school meals","Asian","52.7","48,717"
"No free school meals","Bangladeshi","52.0","7,373"
"No free school meals","Indian","58.0","14,359"
"No free school meals","Pakistani","47.4","18,852"
"No free school meals","Asian other","55.9","8,133"
"No free school meals","Black","46.5","24,044"
"No free school meals","Black African","48.8","15,481"
"No free school meals","Black Caribbean","41.2","5,597"
"No free school meals","Black other","44.9","2,966"
"No free school meals","Chinese","64.8","1,876"
"No free school meals","Mixed","50.3","21,612"
"No free school meals","Mixed White/Asian","55.5","5,297"
"No free school meals","Mixed White/Black African","49.4","2,563"
"No free school meals","Mixed White/Black Caribbean","44.0","5,530"
"No free school meals","Mixed other","51.5","8,222"
"No free school meals","White","48.1","356,094"
"No free school meals","White British","48.2","328,054"
"No free school meals","White Irish","54.3","1,474"
"No free school meals","Gypsy/Roma","20.2","825"
"No free school meals","Irish Traveller","32.3","66"
"No free school meals","White other","47.6","25,675"
"No free school meals","Other","48.9","7,219"
"No free school meals","Unknown","41.7","6,769"
