"Region","Ethnicity","%"
"All","White","88"
"All","Other than White","7"
"All","Unknown","5"
"London","White","83"
"London","Other than White","16"
"London","Unknown","2"
"Midlands & East","White","88"
"Midlands & East","Other than White","8"
"Midlands & East","Unknown","5"
"North","White","90"
"North","Other than White","5"
"North","Unknown","5"
"South","White","89"
"South","Other than White","4"
"South","Unknown","6"
