"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Age","Value","Value_type","APS per entry as a grade","Number of Students"
"16-18 APS per entry - A level","Asian other","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","32.02","Average Point Score","C+","5756"
"16-18 APS per entry - Academic","Asian other","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","32.17","Average Point Score","C+","5869"
"16-18 APS per entry - Applied General","Asian other","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","28.93","Average Point Score","Merit+","1278"
"16-18 APS per entry - Level 3","Asian other","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","31.69","Average Point Score","NA","6466"
"16-18 APS per entry - Tech level","Asian other","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","27.6","Average Point Score","Merit+","208"
"16-18 APS per entry - A level","Black other","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","28.95","Average Point Score","C","1470"
"16-18 APS per entry - Academic","Black other","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","29.02","Average Point Score","C","1507"
"16-18 APS per entry - Applied General","Black other","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","27.08","Average Point Score","Merit+","490"
"16-18 APS per entry - Level 3","Black other","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","28.59","Average Point Score","NA","1792"
"16-18 APS per entry - Tech level","Black other","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","27.09","Average Point Score","Merit+","82"
"16-18 APS per entry - A level","Mixed other","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","33.36","Average Point Score","C+","4452"
"16-18 APS per entry - Academic","Mixed other","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","33.55","Average Point Score","C+","4535"
"16-18 APS per entry - Applied General","Mixed other","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","28.84","Average Point Score","Merit+","1012"
"16-18 APS per entry - Level 3","Mixed other","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","32.81","Average Point Score","NA","5057"
"16-18 APS per entry - Tech level","Mixed other","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","27.51","Average Point Score","Merit+","212"
"16-18 APS per entry - A level","White other","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","33.23","Average Point Score","C+","12148"
"16-18 APS per entry - Academic","White other","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","33.38","Average Point Score","C+","12413"
"16-18 APS per entry - Applied General","White other","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","28.39","Average Point Score","Merit+","3062"
"16-18 APS per entry - Level 3","White other","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","32.57","Average Point Score","NA","13889"
"16-18 APS per entry - Tech level","White other","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","27.83","Average Point Score","Merit+","670"
"16-18 APS per entry - A level","Bangladeshi","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","30.38","Average Point Score","C","5328"
"16-18 APS per entry - Academic","Bangladeshi","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","30.44","Average Point Score","C","5420"
"16-18 APS per entry - Applied General","Bangladeshi","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","29.85","Average Point Score","Merit+","1629"
"16-18 APS per entry - Level 3","Bangladeshi","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","30.29","Average Point Score","NA","6307"
"16-18 APS per entry - Tech level","Bangladeshi","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","28.95","Average Point Score","Merit+","267"
"16-18 APS per entry - A level","Black African","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","29.15","Average Point Score","C","9896"
"16-18 APS per entry - Academic","Black African","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","29.45","Average Point Score","C","10166"
"16-18 APS per entry - Applied General","Black African","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","27.22","Average Point Score","Merit+","3429"
"16-18 APS per entry - Level 3","Black African","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","28.98","Average Point Score","NA","11923"
"16-18 APS per entry - Tech level","Black African","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","27.95","Average Point Score","Merit+","506"
