"Ethnicity","%","Number of respondents"
"All","13","29,344"
"Asian","25","2,356"
"Black","28","897"
"Mixed","23","316"
"White","12","24,681"
"White British","12","23,364"
"White other","15","1,317"
"Other","33","157"
