"Ethnicity","%","Number of respondents"
"All","13","27,159"
"Asian","22","2,154"
"Black","25","794"
"Mixed","22","296"
"White","12","23,020"
"White British","12","21,742"
"White other","14","1,278"
"Other","36","143"
