"Ethnicity","%","Number of respondents"
"All","5","86,287"
"Asian","10","5,934"
"Black","9","2,592"
"Mixed","8","965"
"White","5","72,959"
"White British","5","68,938"
"White other","5","4,021"
"Other","8","476"
