"","Before Housing Costs","","After Housing Costs",""
"Ethnicity","%","Number of Respondents ","%","Number of Respondents "
"All","5","78,927","7","76,252"
"Asian","10","5,324","12","4,929"
"Black","10","2,225","14","1,905"
"Mixed","9","878","13","746"
"White","5","67,405","6","65,713"
"White British","5","63,704","6","62,168"
"White other","5","3,701","7","3,545"
"Other","4","406","11","335"
