"Gender","Ethnicity","%","Sample size"
"All","Asian","78","4,759"
"All","Black","70","1,978"
"All","Mixed","70","782"
"All","White","76","68,454"
"All","Other","78","661"
"Men","Asian","78","2,366"
"Men","Black","68","799"
"Men","Mixed","67","348"
"Men","White","75","31,188"
"Men","Other","75","320"
"Women","Asian","79","2,393"
"Women","Black","71","1,179"
"Women","Mixed","72","434"
"Women","White","77","37,266"
"Women","Other","81","341"
