"","Asian","","Black","","Mixed","","White","","Other",""
"Age","%","Sample size","%","Sample size","%","Sample size","%","Sample size","%","Sample size"
"All","78","4,759","70","1,978","70","782","76","68,454","78","661"
"16-24","76","457","63","179","73","155","79","4,127","75","71"
"25-34","79","1,090","69","330","67","190","77","9,518","78","157"
"35-44","78","1,436","73","495","66","173","76","10,059","80","202"
"45-54","76","759","71","456","68","119","74","11,060","80","114"
"55-64","82","479","70","265","72","87","73","11,299","75","61"
"65-74","84","336","73","128","?","39","74","11,625","?","35"
"75+","85","202","76","125","?","19","82","10,766","?","21"
