"Grouping","Ethnicity","%"
"Apprentices","Asian","4.4"
"Apprentices","Black","3.6"
"Apprentices","Mixed","2.3"
"Apprentices","White","87.6"
"Apprentices","Other","0.8"
"Population (2017 estimate)","Asian","8.1"
"Population (2017 estimate)","Black","3.6"
"Population (2017 estimate)","Mixed","2.6"
"Population (2017 estimate)","White","84.6"
"Population (2017 estimate)","Other","1.1"
