"","2018/19","2019/20","2020/21"
"Ethnicity","Number per 100,000","Number per 100,000","Number per 100,000"
"Asian","103","105","105"
"Black","307","322","344"
"Mixed","233","214","222"
"White","73","73","75"
"Other","173","196","210"
