"","2018/19","2019/20","2020/21"
"Ethnicity","Number per 100,000","Number per 100,000","Number per 100,000"
"Asian","","",""
"Bangladeshi","142","136","141"
"Indian","71","72","70"
"Pakistani","118","121","113"
"Asian other","134","136","147"
"Black","","",""
"Black African","222","232","291"
"Black Caribbean","277","276","287"
"Black other","728","811","764"
"Mixed","","",""
"Mixed White/Asian","82","94","101"
"Mixed White/Black African","188","198","269"
"Mixed White/Black Caribbean","178","195","172"
"Mixed other","474","369","390"
"White","","",""
"White British","70","71","72"
"White Irish","75","70","67"
"White other","141","147","149"
"Other inc Chinese","","",""
"Chinese","52","54","60"
"Any other","411","468","502"
